method,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls
Vanilla BM25,0.23977461088196314,0.6916666666666667,0.6945541137339187,0.5856079442152965,0.0,1.0
BM25 keyword,0.23977461088196314,0.6916666666666667,0.6945541137339187,0.5856079442152965,0.0,1.0
Dense original,0.23977461088196314,0.78125,0.7682585437303383,0.6303996108819631,0.0,1.0
Dense keyword,0.23977461088196314,0.78125,0.7682585437303383,0.6303996108819631,0.0,1.0
Hybrid original,0.26477461088196313,0.71875,0.7385253976158133,0.594149610881963,0.03,2.0
Hybrid keyword,0.26477461088196313,0.71875,0.7385253976158133,0.594149610881963,0.03,2.0
Train-best retrieval action,0.23977461088196314,0.78125,0.7682585437303383,0.6303996108819631,0.0,1.0
Selective retrieval policy,0.23977461088196314,0.78125,0.7682585437303383,0.6303996108819631,0.0,1.0
Confidence-gated retrieval policy,0.23977461088196314,0.78125,0.7682585437303383,0.6303996108819631,0.0,1.0
Oracle retrieval action,0.38977461088196313,0.80625,0.8330157793236987,0.7891496108819631,0.00375,1.125
