source_dataset,target_dataset,split,method,action,qid,question,recall_at_5,mrr,ndcg_at_5,rewrite_cost,retrieval_calls,rewrite_tokens,reward,queries,top_docs,gold_docs,policy_action_score
scifact,scifact,test,Vanilla BM25,bm25_keep,517,High levels of copeptin decrease risk of diabetes.,0.0,0.0,0.0,0.0,1,8,0.0,High levels of copeptin decrease risk of diabetes.,19658917 | 32850528 | 6176498 | 7454794 | 12130200,15663829,
scifact,scifact,test,BM25 keyword,bm25_keyword,517,High levels of copeptin decrease risk of diabetes.,0.0,0.0,0.0,0.0,1,6,0.0,high levels copeptin decrease risk diabetes,19658917 | 32850528 | 30981192 | 31890716 | 25599283,15663829,
scifact,scifact,test,Dense original,dense_keep,517,High levels of copeptin decrease risk of diabetes.,0.0,0.0,0.0,0.0,1,8,0.0,High levels of copeptin decrease risk of diabetes.,19658917 | 25135304 | 23017040 | 20288322 | 11481946,15663829,
scifact,scifact,test,Dense keyword,dense_keyword,517,High levels of copeptin decrease risk of diabetes.,0.0,0.0,0.0,0.0,1,6,0.0,high levels copeptin decrease risk diabetes,19658917 | 20288322 | 25135304 | 23017040 | 11481946,15663829,
scifact,scifact,test,Hybrid original,hybrid_keep,517,High levels of copeptin decrease risk of diabetes.,0.0,0.0,0.0,0.03,2,8,-0.03,High levels of copeptin decrease risk of diabetes.,19658917 | 25135304 | 32850528 | 23017040 | 6176498,15663829,
scifact,scifact,test,Hybrid keyword,hybrid_keyword,517,High levels of copeptin decrease risk of diabetes.,0.0,0.0,0.0,0.03,2,6,-0.03,high levels copeptin decrease risk diabetes,19658917 | 20288322 | 32850528 | 25135304 | 30981192,15663829,
scifact,scifact,test,Target train-best action,hybrid_keyword,517,High levels of copeptin decrease risk of diabetes.,0.0,0.0,0.0,0.03,2,6,-0.03,high levels copeptin decrease risk diabetes,19658917 | 20288322 | 32850528 | 25135304 | 30981192,15663829,
scifact,scifact,test,Heuristic retrieval router,bm25_keep,517,High levels of copeptin decrease risk of diabetes.,0.0,0.0,0.0,0.0,1,8,0.0,High levels of copeptin decrease risk of diabetes.,19658917 | 32850528 | 6176498 | 7454794 | 12130200,15663829,
scifact,scifact,test,Transferred source policy,hybrid_keyword,517,High levels of copeptin decrease risk of diabetes.,0.0,0.0,0.0,0.03,2,6,-0.03,high levels copeptin decrease risk diabetes,19658917 | 20288322 | 32850528 | 25135304 | 30981192,15663829,1.0637020850965058
scifact,scifact,test,Oracle retrieval action,bm25_keep,517,High levels of copeptin decrease risk of diabetes.,0.0,0.0,0.0,0.0,1,8,0.0,High levels of copeptin decrease risk of diabetes.,19658917 | 32850528 | 6176498 | 7454794 | 12130200,15663829,
