method,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls
Vanilla BM25,0.75,0.90625,0.7529038112521442,1.203125,0.0,1.0
BM25 keyword,0.75,1.0,0.7965386950262526,1.25,0.0,1.0
Dense original,0.8125,0.9375,0.7811906094435088,1.28125,0.0,1.0
Dense keyword,0.875,0.9375,0.8242340261215593,1.34375,0.0,1.0
Hybrid original,0.9375,1.0,0.8749029711819631,1.4075,0.03,2.0
Hybrid keyword,0.875,1.0,0.849162023087512,1.345,0.03,2.0
Gemini rewrite action,0.75,0.90625,0.7428689098956677,0.14312499999999995,1.06,1.0
Gemini decompose action,0.875,0.90625,0.8395821117043031,0.2093749999999999,1.1187500000000001,2.0
Train-best retrieval action,0.875,0.9375,0.8242340261215593,1.34375,0.0,1.0
Selective retrieval policy,0.9375,0.9375,0.8773123441560862,1.39875,0.0075,1.25
Oracle retrieval action,0.9375,1.0,0.9061906094435088,1.4337499999999999,0.00375,1.125
