dataset,split,bucket_feature,bucket,n_queries,bm25_action_rate,dense_action_rate,hybrid_action_rate,keyword_action_rate,mean_reward,mean_retrieval_calls
nfcorpus,test,state_question_length,low,157,0.535031847133758,0.46496815286624205,0.0,0.43312101910828027,0.4206193371692545,1.0
nfcorpus,test,state_question_length,mid,49,0.40816326530612246,0.5918367346938775,0.0,0.1836734693877551,0.31577072111283333,1.0
nfcorpus,test,state_question_length,high,94,0.3191489361702128,0.6808510638297872,0.0,0.18085106382978725,0.43211039885902464,1.0
nfcorpus,test,state_bm25_top1,low,100,0.34,0.66,0.0,0.56,0.25676445317700713,1.0
nfcorpus,test,state_bm25_top1,mid,100,0.45,0.55,0.0,0.19,0.4878992262039031,1.0
nfcorpus,test,state_bm25_top1,high,100,0.55,0.45,0.0,0.19,0.4766201082475909,1.0
nfcorpus,test,state_bm25_gap,low,100,0.12,0.88,0.0,0.5,0.3235784112028952,1.0
nfcorpus,test,state_bm25_gap,mid,100,0.35,0.65,0.0,0.26,0.39040407430217494,1.0
nfcorpus,test,state_bm25_gap,high,100,0.87,0.13,0.0,0.18,0.5073013021234309,1.0
nfcorpus,test,state_bm25_entropy,low,100,0.92,0.08,0.0,0.15,0.5502527779502401,1.0
nfcorpus,test,state_bm25_entropy,mid,100,0.42,0.58,0.0,0.28,0.39565601151812646,1.0
nfcorpus,test,state_bm25_entropy,high,100,0.0,1.0,0.0,0.51,0.27537499816013455,1.0
nfcorpus,test,predicted_action_margin,low,100,0.38,0.62,0.0,0.52,0.3598213104789839,1.0
nfcorpus,test,predicted_action_margin,mid,100,0.45,0.55,0.0,0.25,0.38526169079919353,1.0
nfcorpus,test,predicted_action_margin,high,100,0.51,0.49,0.0,0.17,0.4762007863503236,1.0
nfcorpus,test,oracle_reward_margin,low,262,0.4732824427480916,0.5267175572519084,0.0,0.3282442748091603,0.4083101142847095,1.0
nfcorpus,test,oracle_reward_margin,high,38,0.2631578947368421,0.7368421052631579,0.0,0.21052631578947367,0.3987139163225322,1.0
nfcorpus,test,action_reward_std,low,133,0.39849624060150374,0.6015037593984962,0.0,0.40601503759398494,0.3048436368492988,1.0
nfcorpus,test,action_reward_std,mid,67,0.47761194029850745,0.5223880597014925,0.0,0.29850746268656714,0.4504666890211856,1.0
nfcorpus,test,action_reward_std,high,100,0.49,0.51,0.0,0.2,0.5140290689747394,1.0
nfcorpus,test,bm25_dense_doc_overlap,low,179,0.3854748603351955,0.6145251396648045,0.0,0.3575418994413408,0.3211250416063406,1.0
nfcorpus,test,bm25_dense_doc_overlap,mid,70,0.5285714285714286,0.4714285714285714,0.0,0.18571428571428572,0.546529799665407,1.0
nfcorpus,test,bm25_dense_doc_overlap,high,51,0.5490196078431373,0.45098039215686275,0.0,0.3333333333333333,0.5174492223281696,1.0
nfcorpus,test,dense_new_doc_rate,low,121,0.5371900826446281,0.4628099173553719,0.0,0.24793388429752067,0.5342726968207864,1.0
nfcorpus,test,dense_new_doc_rate,mid,85,0.4823529411764706,0.5176470588235295,0.0,0.2823529411764706,0.44463119463650563,1.0
nfcorpus,test,dense_new_doc_rate,high,94,0.2978723404255319,0.7021276595744681,0.0,0.425531914893617,0.20944394578119133,1.0
nfcorpus,test,hybrid_new_doc_rate,low,273,0.46153846153846156,0.5384615384615384,0.0,0.3076923076923077,0.42886279076187983,1.0
nfcorpus,test,hybrid_new_doc_rate,high,27,0.2962962962962963,0.7037037037037037,0.0,0.37037037037037035,0.18699395869840418,1.0
