dataset,split,bucket_feature,bucket,method,n_queries,recall_at_5,mrr,ndcg_at_5,reward,reward_delta_vs_train_best,reward_delta_vs_heuristic,rewrite_cost,retrieval_calls,oracle_margin,oracle_tie_count
nfcorpus,test,state_question_length,low,Train-best retrieval action,157,0.11536981510127281,0.4703821656050955,0.3534354188741051,0.35056089790382056,0.0,-0.05105806332912699,0.0,1.0,0.0011464968152866235,6.955414012738854
nfcorpus,test,state_question_length,low,Heuristic retrieval router,157,0.14169327121171615,0.5198513800424629,0.38199457784462976,0.40161896123294755,0.05105806332912699,0.0,0.0,1.0,0.0011464968152866235,6.955414012738854
nfcorpus,test,state_question_length,low,Selective retrieval policy,157,0.14344311636246043,0.5543524416135881,0.3973607973480679,0.4206193371692545,0.07005843926543392,0.019000375936306935,0.0,1.0,0.0011464968152866235,6.955414012738854
nfcorpus,test,state_question_length,low,Confidence-gated retrieval policy,157,0.14344311636246043,0.5543524416135881,0.3973607973480679,0.4206193371692545,0.07005843926543392,0.019000375936306935,0.0,1.0,0.0011464968152866235,6.955414012738854
nfcorpus,test,state_question_length,low,Oracle retrieval action,157,0.15703271306740535,0.591932059447983,0.4477121114235542,0.45280765998884914,0.10224676208502859,0.051188698755901596,0.0001910828025477707,1.0063694267515924,0.0011464968152866235,6.955414012738854
nfcorpus,test,state_question_length,mid,Train-best retrieval action,49,0.08520260414173415,0.49013605442176866,0.268891191270683,0.33027063135261847,0.0,0.0016103358053601857,0.0,1.0,0.013650900241343439,6.26530612244898
nfcorpus,test,state_question_length,mid,Heuristic retrieval router,49,0.08223172411868686,0.4928571428571428,0.257670711994283,0.3286602955472583,-0.0016103358053601857,0.0,0.0,1.0,0.013650900241343439,6.26530612244898
nfcorpus,test,state_question_length,mid,Selective retrieval policy,49,0.08005643539854765,0.4714285714285715,0.24741134115883048,0.31577072111283333,-0.014499910239785141,-0.012889574434424955,0.0,1.0,0.013650900241343439,6.26530612244898
nfcorpus,test,state_question_length,mid,Confidence-gated retrieval policy,49,0.08005643539854765,0.4714285714285715,0.24741134115883048,0.31577072111283333,-0.014499910239785141,-0.012889574434424955,0.0,1.0,0.013650900241343439,6.26530612244898
nfcorpus,test,state_question_length,mid,Oracle retrieval action,49,0.11300197768862481,0.595578231292517,0.34282841046840784,0.41017884843692415,0.07990821708430568,0.08151855288966586,0.0006122448979591836,1.0204081632653061,0.013650900241343439,6.26530612244898
nfcorpus,test,state_question_length,high,Train-best retrieval action,94,0.15292034687091532,0.5861702127659575,0.4117607351215381,0.446005453253894,0.0,0.04465040805450843,0.0,1.0,0.022737202796532893,5.638297872340425
nfcorpus,test,state_question_length,high,Heuristic retrieval router,94,0.13264937144052036,0.5374113475177305,0.3520755725439238,0.4013550451993856,-0.04465040805450843,0.0,0.0,1.0,0.022737202796532893,5.638297872340425
nfcorpus,test,state_question_length,high,Selective retrieval policy,94,0.151702597440585,0.5608156028368795,0.3953067898157584,0.43211039885902464,-0.013895054394869377,0.03075535365963905,0.0,1.0,0.022737202796532893,5.638297872340425
nfcorpus,test,state_question_length,high,Confidence-gated retrieval policy,94,0.151702597440585,0.5608156028368795,0.3953067898157584,0.43211039885902464,-0.013895054394869377,0.03075535365963905,0.0,1.0,0.022737202796532893,5.638297872340425
nfcorpus,test,state_question_length,high,Oracle retrieval action,94,0.17878686915641118,0.6673758865248227,0.47361181026946203,0.5111982166741416,0.06519276342024755,0.10984317147475597,0.001276595744680851,1.0425531914893618,0.022737202796532893,5.638297872340425
nfcorpus,test,state_bm25_top1,low,Train-best retrieval action,100,0.04118923156462989,0.32866666666666666,0.23964517730505183,0.20552256489796325,0.0,-0.02893853117451048,0.0,1.0,0.0,7.2
nfcorpus,test,state_bm25_top1,low,Heuristic retrieval router,100,0.051961096072473685,0.365,0.2510861260935847,0.23446109607247373,0.02893853117451048,0.0,0.0,1.0,0.0,7.2
nfcorpus,test,state_bm25_top1,low,Selective retrieval policy,100,0.05384778651034045,0.40583333333333327,0.2705817531028749,0.25676445317700713,0.051241888279043885,0.022303357104533406,0.0,1.0,0.0,7.2
nfcorpus,test,state_bm25_top1,low,Confidence-gated retrieval policy,100,0.05384778651034045,0.40583333333333327,0.2705817531028749,0.25676445317700713,0.051241888279043885,0.022303357104533406,0.0,1.0,0.0,7.2
nfcorpus,test,state_bm25_top1,low,Oracle retrieval action,100,0.06676285138209806,0.44949999999999996,0.32121462472908013,0.29151285138209804,0.08599028648413479,0.05705175530962431,0.0,1.0,0.0,7.2
nfcorpus,test,state_bm25_top1,mid,Train-best retrieval action,100,0.1523607430441448,0.5876666666666668,0.41169037213110554,0.44619407637747804,0.0,-0.011964756769977658,0.0,1.0,0.012425423755953832,6.14
nfcorpus,test,state_bm25_top1,mid,Heuristic retrieval router,100,0.1619921664807891,0.5923333333333334,0.4051654400059763,0.4581588331474557,0.011964756769977658,0.0,0.0,1.0,0.012425423755953832,6.14
nfcorpus,test,state_bm25_top1,mid,Selective retrieval policy,100,0.1751492262039031,0.6255000000000001,0.431163468248064,0.4878992262039031,0.041705149826425036,0.02974039305644738,0.0,1.0,0.012425423755953832,6.14
nfcorpus,test,state_bm25_top1,mid,Confidence-gated retrieval policy,100,0.1751492262039031,0.6255000000000001,0.431163468248064,0.4878992262039031,0.041705149826425036,0.02974039305644738,0.0,1.0,0.012425423755953832,6.14
nfcorpus,test,state_bm25_top1,mid,Oracle retrieval action,100,0.19417017880565968,0.7083333333333333,0.4970042747991465,0.5477368454723264,0.10154276909484833,0.08957801232487067,0.0006,1.02,0.012425423755953832,6.14
nfcorpus,test,state_bm25_top1,high,Train-best retrieval action,100,0.17307503718833372,0.6133333333333334,0.4223698329330681,0.47974170385500037,0.0,0.0035025766336231334,0.0,1.0,0.01743648799104537,5.95
nfcorpus,test,state_bm25_top1,high,Heuristic retrieval router,100,0.1734891272213772,0.6055,0.4006896081849947,0.47623912722137723,-0.0035025766336231334,0.0,0.0,1.0,0.01743648799104537,5.95
nfcorpus,test,state_bm25_top1,high,Selective retrieval policy,100,0.1780367749142575,0.5971666666666667,0.41493117008016744,0.4766201082475909,-0.0031215956074094886,0.0003809810262136448,0.0,1.0,0.01743648799104537,5.95
nfcorpus,test,state_bm25_top1,high,Confidence-gated retrieval policy,100,0.1780367749142575,0.5971666666666667,0.41493117008016744,0.4766201082475909,-0.0031215956074094886,0.0003809810262136448,0.0,1.0,0.01743648799104537,5.95
nfcorpus,test,state_bm25_top1,high,Oracle retrieval action,100,0.20903895540252124,0.6906666666666667,0.4978701381895674,0.5531722887358546,0.07343058488085419,0.07693316151447732,0.0012,1.04,0.01743648799104537,5.95
nfcorpus,test,state_bm25_gap,low,Train-best retrieval action,100,0.08539548853888007,0.43333333333333335,0.3303984034568343,0.30206215520554675,0.0,0.0,0.0,1.0,0.005739247311827956,6.72
nfcorpus,test,state_bm25_gap,low,Heuristic retrieval router,100,0.08539548853888007,0.43333333333333335,0.3303984034568343,0.30206215520554675,0.0,0.0,0.0,1.0,0.005739247311827956,6.72
