dataset,method,reward,recall_at_5,mrr,retrieval_calls,rewrite_cost,dominated,reason
nfcorpus,Selective retrieval policy,0.4070945958761671,0.1356779292095004,0.5428333333333333,1.0,0.0,False,pareto_frontier
nfcorpus,Confidence-gated retrieval policy,0.4070945958761671,0.1356779292095004,0.5428333333333333,1.0,0.0,False,pareto_frontier
nfcorpus,Heuristic retrieval router,0.3896196854804356,0.1291474632582133,0.5209444444444445,1.0,0.0,True,lower_or_equal_reward_and_higher_or_equal_calls
nfcorpus,BM25 keyword,0.3854763074375351,0.1240318629930906,0.522888888888889,1.0,0.0,True,lower_or_equal_reward_and_higher_or_equal_calls
nfcorpus,Dense original,0.3771527817101472,0.1222083372657028,0.509888888888889,1.0,0.0,True,lower_or_equal_reward_and_higher_or_equal_calls
nfcorpus,Train-best retrieval action,0.3771527817101472,0.1222083372657028,0.509888888888889,1.0,0.0,True,lower_or_equal_reward_and_higher_or_equal_calls
nfcorpus,Vanilla BM25,0.3730694816148493,0.118347259392627,0.5094444444444444,1.0,0.0,True,lower_or_equal_reward_and_higher_or_equal_calls
nfcorpus,Hybrid keyword,0.3711454487567848,0.1330621154234514,0.5361666666666667,2.0,0.03,True,lower_or_equal_reward_and_higher_or_equal_calls
nfcorpus,Dense keyword,0.367465897258113,0.1188825639247796,0.4971666666666667,1.0,0.0,True,lower_or_equal_reward_and_higher_or_equal_calls
nfcorpus,Hybrid original,0.3657712531966178,0.1305490309743956,0.5304444444444444,2.0,0.03,True,lower_or_equal_reward_and_higher_or_equal_calls
