dataset,split,group,target,start,end,width,active_columns,mean_abs_corr,max_abs_corr
nfcorpus,train,bias,oracle_reward,0,1,1,1,0.0,0.0
nfcorpus,train,bias,oracle_margin,0,1,1,1,0.0,0.0
nfcorpus,train,bias,dense_advantage_vs_bm25,0,1,1,1,0.0,0.0
nfcorpus,train,bias,hybrid_advantage_vs_bm25,0,1,1,1,0.0,0.0
nfcorpus,train,query_form,oracle_reward,1,3,2,2,0.4543923874995589,0.5302930608879425
nfcorpus,train,query_form,oracle_margin,1,3,2,2,0.42641409306554795,0.7476748480731771
nfcorpus,train,query_form,dense_advantage_vs_bm25,1,3,2,2,0.21353028159904974,0.23465438834489452
nfcorpus,train,query_form,hybrid_advantage_vs_bm25,1,3,2,2,0.0816689240836186,0.09153880372378041
nfcorpus,train,retrieval_confidence,oracle_reward,3,6,3,3,0.39432977540389635,0.5815343243389453
nfcorpus,train,retrieval_confidence,oracle_margin,3,6,3,3,0.1469985208167606,0.20756153981927875
nfcorpus,train,retrieval_confidence,dense_advantage_vs_bm25,3,6,3,3,0.22241352110945325,0.3360500254233706
nfcorpus,train,retrieval_confidence,hybrid_advantage_vs_bm25,3,6,3,3,0.2275301319315162,0.2822324147802536
nfcorpus,train,wh_word,oracle_reward,6,14,8,5,0.1013312328786124,0.2859106501056755
nfcorpus,train,wh_word,oracle_margin,6,14,8,5,0.052861627191301885,0.13067273377674293
nfcorpus,train,wh_word,dense_advantage_vs_bm25,6,14,8,5,0.07193237696598057,0.2431921050183064
nfcorpus,train,wh_word,hybrid_advantage_vs_bm25,6,14,8,5,0.067747852981991,0.19115362696266064
nfcorpus,train,retrieval_contrast,oracle_reward,14,22,8,8,0.17768639539333148,0.34973591566078616
nfcorpus,train,retrieval_contrast,oracle_margin,14,22,8,8,0.1992807221169843,0.3406666633347356
nfcorpus,train,retrieval_contrast,dense_advantage_vs_bm25,14,22,8,8,0.11586710975691654,0.19991110817373148
nfcorpus,train,retrieval_contrast,hybrid_advantage_vs_bm25,14,22,8,8,0.11806592039008156,0.2072021850013079
nfcorpus,test,bias,oracle_reward,0,1,1,1,0.0,0.0
nfcorpus,test,bias,oracle_margin,0,1,1,1,0.0,0.0
nfcorpus,test,bias,dense_advantage_vs_bm25,0,1,1,1,0.0,0.0
nfcorpus,test,bias,hybrid_advantage_vs_bm25,0,1,1,1,0.0,0.0
nfcorpus,test,query_form,oracle_reward,1,3,2,2,0.11626716690275557,0.2258928833914887
nfcorpus,test,query_form,oracle_margin,1,3,2,2,0.1617189699667964,0.2343698313618731
nfcorpus,test,query_form,dense_advantage_vs_bm25,1,3,2,2,0.1823296088426353,0.1959001211401375
nfcorpus,test,query_form,hybrid_advantage_vs_bm25,1,3,2,2,0.14701954133110784,0.19478806177839736
nfcorpus,test,retrieval_confidence,oracle_reward,3,6,3,3,0.11176541007567742,0.1779922956621289
nfcorpus,test,retrieval_confidence,oracle_margin,3,6,3,3,0.2775038395740081,0.4266724411841755
nfcorpus,test,retrieval_confidence,dense_advantage_vs_bm25,3,6,3,3,0.32474088116772476,0.5759768342263465
nfcorpus,test,retrieval_confidence,hybrid_advantage_vs_bm25,3,6,3,3,0.1939822417531161,0.47400938422662625
nfcorpus,test,wh_word,oracle_reward,6,14,8,4,0.09868849212792707,0.44498197230593206
nfcorpus,test,wh_word,oracle_margin,6,14,8,4,0.0285696239653545,0.07625175278869319
nfcorpus,test,wh_word,dense_advantage_vs_bm25,6,14,8,4,0.1337116895121697,0.5013562215050426
nfcorpus,test,wh_word,hybrid_advantage_vs_bm25,6,14,8,4,0.09095187678419973,0.3064356677176223
nfcorpus,test,retrieval_contrast,oracle_reward,14,22,8,8,0.04365693081699759,0.12083008654855615
nfcorpus,test,retrieval_contrast,oracle_margin,14,22,8,8,0.18884822252164785,0.333810375096292
nfcorpus,test,retrieval_contrast,dense_advantage_vs_bm25,14,22,8,8,0.2649434979070976,0.5344102960641065
nfcorpus,test,retrieval_contrast,hybrid_advantage_vs_bm25,14,22,8,8,0.19698648196544452,0.3856726382414366
