dataset,split,logging_seed,behavior_policy,target_method,estimator,estimated_value,true_value,absolute_error,n_queries,match_rate,effective_sample_size,logged_reward,mean_propensity
nfcorpus,test,42,uniform,Train-best retrieval action,direct_method,0.3303720480825939,0.37715278171014727,0.04678073362755336,300,0.15,45.0,0.3631389552540667,0.16666666666666666
nfcorpus,test,42,uniform,Train-best retrieval action,ips,0.3535082325043576,0.37715278171014727,0.023644549205789678,300,0.15,45.0,0.3631389552540667,0.16666666666666666
nfcorpus,test,42,uniform,Train-best retrieval action,snips,0.39278692500484175,0.37715278171014727,0.01563414329469448,300,0.15,45.0,0.3631389552540667,0.16666666666666666
nfcorpus,test,42,uniform,Train-best retrieval action,doubly_robust,0.4023855706108937,0.37715278171014727,0.025232788900746428,300,0.15,45.0,0.3631389552540667,0.16666666666666666
nfcorpus,test,42,uniform,Heuristic retrieval router,direct_method,0.34842031146380115,0.3896196854804356,0.04119937401663443,300,0.15333333333333332,46.0,0.3631389552540667,0.16666666666666666
nfcorpus,test,42,uniform,Heuristic retrieval router,ips,0.3773116659166174,0.3896196854804356,0.012308019563818162,300,0.15333333333333332,46.0,0.3631389552540667,0.16666666666666666
nfcorpus,test,42,uniform,Heuristic retrieval router,snips,0.4101213759963233,0.3896196854804356,0.02050169051588774,300,0.15333333333333332,46.0,0.3631389552540667,0.16666666666666666
nfcorpus,test,42,uniform,Heuristic retrieval router,doubly_robust,0.41549872811633776,0.3896196854804356,0.025879042635902183,300,0.15333333333333332,46.0,0.3631389552540667,0.16666666666666666
nfcorpus,test,42,uniform,Selective retrieval policy,direct_method,0.35494418796385163,0.40709459587616703,0.0521504079123154,300,0.16,48.0,0.3631389552540667,0.16666666666666666
nfcorpus,test,42,uniform,Selective retrieval policy,ips,0.40241248357490084,0.40709459587616703,0.004682112301266195,300,0.16,48.0,0.3631389552540667,0.16666666666666666
nfcorpus,test,42,uniform,Selective retrieval policy,snips,0.41917967039052173,0.40709459587616703,0.012085074514354699,300,0.16,48.0,0.3631389552540667,0.16666666666666666
nfcorpus,test,42,uniform,Selective retrieval policy,doubly_robust,0.38314446084542814,0.40709459587616703,0.023950135030738895,300,0.16,48.0,0.3631389552540667,0.16666666666666666
nfcorpus,test,42,uniform,Confidence-gated retrieval policy,direct_method,0.35494418796385163,0.40709459587616703,0.0521504079123154,300,0.16,48.0,0.3631389552540667,0.16666666666666666
nfcorpus,test,42,uniform,Confidence-gated retrieval policy,ips,0.40241248357490084,0.40709459587616703,0.004682112301266195,300,0.16,48.0,0.3631389552540667,0.16666666666666666
nfcorpus,test,42,uniform,Confidence-gated retrieval policy,snips,0.41917967039052173,0.40709459587616703,0.012085074514354699,300,0.16,48.0,0.3631389552540667,0.16666666666666666
nfcorpus,test,42,uniform,Confidence-gated retrieval policy,doubly_robust,0.38314446084542814,0.40709459587616703,0.023950135030738895,300,0.16,48.0,0.3631389552540667,0.16666666666666666
nfcorpus,test,42,train_best_eps_0.2,Train-best retrieval action,direct_method,0.3303720480825939,0.37715278171014727,0.04678073362755336,300,0.8333333333333334,250.00000000000003,0.37448757257551807,0.7
nfcorpus,test,42,train_best_eps_0.2,Train-best retrieval action,ips,0.3668111026807542,0.37715278171014727,0.010341679029393092,300,0.8333333333333334,250.00000000000003,0.37448757257551807,0.7
nfcorpus,test,42,train_best_eps_0.2,Train-best retrieval action,snips,0.3668111026807542,0.37715278171014727,0.010341679029393092,300,0.8333333333333334,250.00000000000003,0.37448757257551807,0.7
nfcorpus,test,42,train_best_eps_0.2,Train-best retrieval action,doubly_robust,0.3668767326895517,0.37715278171014727,0.01027604902059559,300,0.8333333333333334,250.00000000000003,0.37448757257551807,0.7
nfcorpus,test,42,train_best_eps_0.2,Heuristic retrieval router,direct_method,0.34842031146380115,0.3896196854804356,0.04119937401663443,300,0.47,20.907335907335902,0.37448757257551807,0.7
nfcorpus,test,42,train_best_eps_0.2,Heuristic retrieval router,ips,0.2859216820120206,0.3896196854804356,0.10369800346841496,300,0.47,20.907335907335902,0.37448757257551807,0.7
nfcorpus,test,42,train_best_eps_0.2,Heuristic retrieval router,snips,0.25080849299300056,0.3896196854804356,0.138811192487435,300,0.47,20.907335907335902,0.37448757257551807,0.7
nfcorpus,test,42,train_best_eps_0.2,Heuristic retrieval router,doubly_robust,0.25041686729503954,0.3896196854804356,0.13920281818539604,300,0.47,20.907335907335902,0.37448757257551807,0.7
nfcorpus,test,42,train_best_eps_0.2,Selective retrieval policy,direct_method,0.35494418796385163,0.40709459587616703,0.0521504079123154,300,0.3233333333333333,14.365214037794063,0.37448757257551807,0.7
nfcorpus,test,42,train_best_eps_0.2,Selective retrieval policy,ips,0.3824245480539976,0.40709459587616703,0.024670047822169416,300,0.3233333333333333,14.365214037794063,0.37448757257551807,0.7
nfcorpus,test,42,train_best_eps_0.2,Selective retrieval policy,snips,0.495368585562173,0.40709459587616703,0.08827398968600597,300,0.3233333333333333,14.365214037794063,0.37448757257551807,0.7
nfcorpus,test,42,train_best_eps_0.2,Selective retrieval policy,doubly_robust,0.39960736044471096,0.40709459587616703,0.007487235431456074,300,0.3233333333333333,14.365214037794063,0.37448757257551807,0.7
nfcorpus,test,42,train_best_eps_0.2,Confidence-gated retrieval policy,direct_method,0.35494418796385163,0.40709459587616703,0.0521504079123154,300,0.3233333333333333,14.365214037794063,0.37448757257551807,0.7
nfcorpus,test,42,train_best_eps_0.2,Confidence-gated retrieval policy,ips,0.3824245480539976,0.40709459587616703,0.024670047822169416,300,0.3233333333333333,14.365214037794063,0.37448757257551807,0.7
nfcorpus,test,42,train_best_eps_0.2,Confidence-gated retrieval policy,snips,0.495368585562173,0.40709459587616703,0.08827398968600597,300,0.3233333333333333,14.365214037794063,0.37448757257551807,0.7
nfcorpus,test,42,train_best_eps_0.2,Confidence-gated retrieval policy,doubly_robust,0.39960736044471096,0.40709459587616703,0.007487235431456074,300,0.3233333333333333,14.365214037794063,0.37448757257551807,0.7
nfcorpus,test,42,heuristic_eps_0.2,Train-best retrieval action,direct_method,0.3303720480825939,0.37715278171014727,0.04678073362755336,300,0.43,20.190404797601197,0.38459869049686274,0.716
nfcorpus,test,42,heuristic_eps_0.2,Train-best retrieval action,ips,0.2133453449841477,0.37715278171014727,0.16380743672599957,300,0.43,20.190404797601197,0.38459869049686274,0.716
nfcorpus,test,42,heuristic_eps_0.2,Train-best retrieval action,snips,0.26535490669670114,0.37715278171014727,0.11179787501344612,300,0.43,20.190404797601197,0.38459869049686274,0.716
nfcorpus,test,42,heuristic_eps_0.2,Train-best retrieval action,doubly_robust,0.2856720373584476,0.37715278171014727,0.09148074435169967,300,0.43,20.190404797601197,0.38459869049686274,0.716
nfcorpus,test,42,heuristic_eps_0.2,Heuristic retrieval router,direct_method,0.34842031146380115,0.3896196854804356,0.04119937401663443,300,0.8533333333333334,256.00000000000006,0.38459869049686274,0.716
nfcorpus,test,42,heuristic_eps_0.2,Heuristic retrieval router,ips,0.40707378744330625,0.3896196854804356,0.01745410196287067,300,0.8533333333333334,256.00000000000006,0.38459869049686274,0.716
nfcorpus,test,42,heuristic_eps_0.2,Heuristic retrieval router,snips,0.3975329955501038,0.3896196854804356,0.007913310069668222,300,0.8533333333333334,256.00000000000006,0.38459869049686274,0.716
nfcorpus,test,42,heuristic_eps_0.2,Heuristic retrieval router,doubly_robust,0.39455649043532387,0.3896196854804356,0.004936804954888296,300,0.8533333333333334,256.00000000000006,0.38459869049686274,0.716
nfcorpus,test,42,heuristic_eps_0.2,Selective retrieval policy,direct_method,0.35494418796385163,0.40709459587616703,0.0521504079123154,300,0.5033333333333333,22.34274711168164,0.38459869049686274,0.716
nfcorpus,test,42,heuristic_eps_0.2,Selective retrieval policy,ips,0.36851361581524356,0.40709459587616703,0.038580980060923475,300,0.5033333333333333,22.34274711168164,0.38459869049686274,0.716
nfcorpus,test,42,heuristic_eps_0.2,Selective retrieval policy,snips,0.3122996744196979,0.40709459587616703,0.09479492145646912,300,0.5033333333333333,22.34274711168164,0.38459869049686274,0.716
nfcorpus,test,42,heuristic_eps_0.2,Selective retrieval policy,doubly_robust,0.2924096013291914,0.40709459587616703,0.11468499454697562,300,0.5033333333333333,22.34274711168164,0.38459869049686274,0.716
nfcorpus,test,42,heuristic_eps_0.2,Confidence-gated retrieval policy,direct_method,0.35494418796385163,0.40709459587616703,0.0521504079123154,300,0.5033333333333333,22.34274711168164,0.38459869049686274,0.716
nfcorpus,test,42,heuristic_eps_0.2,Confidence-gated retrieval policy,ips,0.36851361581524356,0.40709459587616703,0.038580980060923475,300,0.5033333333333333,22.34274711168164,0.38459869049686274,0.716
nfcorpus,test,42,heuristic_eps_0.2,Confidence-gated retrieval policy,snips,0.3122996744196979,0.40709459587616703,0.09479492145646912,300,0.5033333333333333,22.34274711168164,0.38459869049686274,0.716
nfcorpus,test,42,heuristic_eps_0.2,Confidence-gated retrieval policy,doubly_robust,0.2924096013291914,0.40709459587616703,0.11468499454697562,300,0.5033333333333333,22.34274711168164,0.38459869049686274,0.716
