dataset,group,target,start,end,width,active_columns,alpha,train_rows,test_rows,train_r2,test_r2,test_corr,target_train_std,target_test_std,semantic_depth
nfcorpus,bias,oracle_reward,0,1,1,1,1.0,4,4,0.0,-0.7488024524049617,0.0,0.3650387289656449,0.3098940917148389,5
nfcorpus,bias,oracle_margin,0,1,1,1,1.0,4,4,0.0,-0.0936333333403611,0.0,0.0129903810567665,0.0084904451350311,5
nfcorpus,bias,dense_advantage_vs_bm25,0,1,1,1,1.0,4,4,0.0,-5.652997998123072,0.0,0.0956984965443131,0.0386038529887789,5
nfcorpus,bias,hybrid_advantage_vs_bm25,0,1,1,1,1.0,4,4,0.0,-0.201646090542354,0.0,0.0240562612164268,0.0135316469341318,5
nfcorpus,query_form,oracle_reward,1,3,2,2,1.0,4,4,0.04806374376481,-0.6528702603487881,0.1769631509942833,0.3650387289656449,0.3098940917148389,5
nfcorpus,query_form,oracle_margin,1,3,2,2,1.0,4,4,0.0812628922604321,0.0626089102304324,0.8225885183408905,0.0129903810567665,0.0084904451350311,5
nfcorpus,query_form,dense_advantage_vs_bm25,1,3,2,2,1.0,4,4,0.0613651809366773,-5.187258695229047,-0.4202173184500036,0.0956984965443131,0.0386038529887789,5
nfcorpus,query_form,hybrid_advantage_vs_bm25,1,3,2,2,1.0,4,4,0.0063830942331758,-0.2068763949863983,0.5753812793726372,0.0240562612164268,0.0135316469341318,5
nfcorpus,retrieval_confidence,oracle_reward,3,6,3,3,1.0,4,4,0.220944671713881,-0.4992043610698835,-0.3517746158306408,0.3650387289656449,0.3098940917148389,5
nfcorpus,retrieval_confidence,oracle_margin,3,6,3,3,1.0,4,4,0.0416952683532819,-0.1491660668339509,0.1910103788392514,0.0129903810567665,0.0084904451350311,5
nfcorpus,retrieval_confidence,dense_advantage_vs_bm25,3,6,3,3,1.0,4,4,0.0928685074308754,-4.08762941069118,-0.3579436137033766,0.0956984965443131,0.0386038529887789,5
nfcorpus,retrieval_confidence,hybrid_advantage_vs_bm25,3,6,3,3,1.0,4,4,0.239221441540899,-0.3223244506975036,-0.3413128530066425,0.0240562612164268,0.0135316469341318,5
nfcorpus,wh_word,oracle_reward,6,14,8,3,1.0,4,4,0.563723478712194,-0.0299649149326959,0.5025800978841157,0.3650387289656449,0.3098940917148389,5
nfcorpus,wh_word,oracle_margin,6,14,8,3,1.0,4,4,0.78,0.5161226666728402,1.0,0.0129903810567665,0.0084904451350311,5
nfcorpus,wh_word,dense_advantage_vs_bm25,6,14,8,3,1.0,4,4,0.7847576752270623,-2.975423219345,-0.1305880477932089,0.0956984965443131,0.0386038529887789,5
nfcorpus,wh_word,hybrid_advantage_vs_bm25,6,14,8,3,1.0,4,4,0.78,-0.3649382716092366,-0.3333333333333333,0.0240562612164268,0.0135316469341318,5
nfcorpus,bias,oracle_reward,0,1,1,1,1.0,4,4,0.0,-0.7488024524049617,0.0,0.3650387289656449,0.3098940917148389,8
nfcorpus,bias,oracle_margin,0,1,1,1,1.0,4,4,0.0,-0.0936333333403611,0.0,0.0129903810567665,0.0084904451350311,8
nfcorpus,bias,dense_advantage_vs_bm25,0,1,1,1,1.0,4,4,0.0,-5.652997998123072,0.0,0.0956984965443131,0.0386038529887789,8
nfcorpus,bias,hybrid_advantage_vs_bm25,0,1,1,1,1.0,4,4,0.0,-0.201646090542354,0.0,0.0240562612164268,0.0135316469341318,8
nfcorpus,query_form,oracle_reward,1,3,2,2,1.0,4,4,0.04806374376481,-0.6528702603487881,0.1769631509942833,0.3650387289656449,0.3098940917148389,8
nfcorpus,query_form,oracle_margin,1,3,2,2,1.0,4,4,0.0812628922604321,0.0626089102304324,0.8225885183408905,0.0129903810567665,0.0084904451350311,8
nfcorpus,query_form,dense_advantage_vs_bm25,1,3,2,2,1.0,4,4,0.0613651809366773,-5.187258695229047,-0.4202173184500036,0.0956984965443131,0.0386038529887789,8
nfcorpus,query_form,hybrid_advantage_vs_bm25,1,3,2,2,1.0,4,4,0.0063830942331758,-0.2068763949863983,0.5753812793726372,0.0240562612164268,0.0135316469341318,8
nfcorpus,retrieval_confidence,oracle_reward,3,6,3,3,1.0,4,4,0.220944671713881,-0.4992043610698835,-0.3517746158306408,0.3650387289656449,0.3098940917148389,8
nfcorpus,retrieval_confidence,oracle_margin,3,6,3,3,1.0,4,4,0.0416952683532819,-0.1491660668339509,0.1910103788392514,0.0129903810567665,0.0084904451350311,8
nfcorpus,retrieval_confidence,dense_advantage_vs_bm25,3,6,3,3,1.0,4,4,0.0928685074308754,-4.08762941069118,-0.3579436137033766,0.0956984965443131,0.0386038529887789,8
nfcorpus,retrieval_confidence,hybrid_advantage_vs_bm25,3,6,3,3,1.0,4,4,0.239221441540899,-0.3223244506975036,-0.3413128530066425,0.0240562612164268,0.0135316469341318,8
nfcorpus,wh_word,oracle_reward,6,14,8,3,1.0,4,4,0.563723478712194,-0.0299649149326959,0.5025800978841157,0.3650387289656449,0.3098940917148389,8
nfcorpus,wh_word,oracle_margin,6,14,8,3,1.0,4,4,0.78,0.5161226666728402,1.0,0.0129903810567665,0.0084904451350311,8
nfcorpus,wh_word,dense_advantage_vs_bm25,6,14,8,3,1.0,4,4,0.7847576752270623,-2.975423219345,-0.1305880477932089,0.0956984965443131,0.0386038529887789,8
nfcorpus,wh_word,hybrid_advantage_vs_bm25,6,14,8,3,1.0,4,4,0.78,-0.3649382716092366,-0.3333333333333333,0.0240562612164268,0.0135316469341318,8
