dataset,group,target,semantic_depth,baseline_semantic_depth,n_pairs,train_r2_delta,test_r2_delta,test_corr_delta,active_columns_delta,width_delta,seed
nfcorpus,bias,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,bias,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,bias,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,bias,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,embedding_projection,dense_advantage_vs_bm25,8,5,1,-1.665846e-06,0.000403468641,0.104586631648,0.0,0.0,41
nfcorpus,embedding_projection,hybrid_advantage_vs_bm25,8,5,1,0.000129810202,0.000766225782,0.168524425964,0.0,0.0,41
nfcorpus,embedding_projection,oracle_margin,8,5,1,-3.1767852e-05,7.801173e-06,0.018841724128,0.0,0.0,41
nfcorpus,embedding_projection,oracle_reward,8,5,1,-0.000197532621,0.000172572156,0.06127846493,0.0,0.0,41
nfcorpus,lexical_semantic_interactions,dense_advantage_vs_bm25,8,5,1,3.7260978e-05,-0.001428949946,-5.4664443e-05,0.0,0.0,41
nfcorpus,lexical_semantic_interactions,hybrid_advantage_vs_bm25,8,5,1,4.6798229e-05,-0.00276172162,-0.001297742934,0.0,0.0,41
nfcorpus,lexical_semantic_interactions,oracle_margin,8,5,1,-0.051050848738,0.000478092392,0.003562103099,0.0,0.0,41
nfcorpus,lexical_semantic_interactions,oracle_reward,8,5,1,2.146288e-06,-0.002377110424,-0.004390540365,0.0,0.0,41
nfcorpus,query_form,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,query_form,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,query_form,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,query_form,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,retrieval_confidence,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,retrieval_confidence,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,retrieval_confidence,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,retrieval_confidence,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,semantic_rank_agreement,dense_advantage_vs_bm25,8,5,1,0.007774040955,0.19755788709,0.203785563048,0.0,0.0,41
nfcorpus,semantic_rank_agreement,hybrid_advantage_vs_bm25,8,5,1,-0.019264428685,0.281118050882,0.221167506054,0.0,0.0,41
nfcorpus,semantic_rank_agreement,oracle_margin,8,5,1,0.113911163144,0.012968148518,0.393647001956,0.0,0.0,41
nfcorpus,semantic_rank_agreement,oracle_reward,8,5,1,0.246337630595,0.14369472374,0.268938817587,0.0,0.0,41
nfcorpus,semantic_rank_profile,dense_advantage_vs_bm25,8,5,1,0.011923816853,-0.005421269002,-0.038439513752,6.0,6.0,41
nfcorpus,semantic_rank_profile,hybrid_advantage_vs_bm25,8,5,1,0.013404683339,-0.014983869252,-0.067708585242,6.0,6.0,41
nfcorpus,semantic_rank_profile,oracle_margin,8,5,1,0.02090550903,-0.000305430563,0.00023701892,6.0,6.0,41
nfcorpus,semantic_rank_profile,oracle_reward,8,5,1,0.005124173582,-0.00354802281,-0.015059738971,6.0,6.0,41
nfcorpus,semantic_score_shape,dense_advantage_vs_bm25,8,5,1,-0.003729375533,-0.005212739704,-0.047971048101,0.0,0.0,41
nfcorpus,semantic_score_shape,hybrid_advantage_vs_bm25,8,5,1,-0.004856719328,-0.005621509501,-0.030323264147,0.0,0.0,41
nfcorpus,semantic_score_shape,oracle_margin,8,5,1,-0.008707150791,-0.000877610226,-0.08399814605,0.0,0.0,41
nfcorpus,semantic_score_shape,oracle_reward,8,5,1,0.003471501164,0.004975935606,-0.002273110836,0.0,0.0,41
nfcorpus,semantic_summary,dense_advantage_vs_bm25,8,5,1,-0.019161166887,0.000206479625,0.009356515834,0.0,0.0,41
nfcorpus,semantic_summary,hybrid_advantage_vs_bm25,8,5,1,-0.017837218811,-0.000666876728,-0.014353332478,0.0,0.0,41
nfcorpus,semantic_summary,oracle_margin,8,5,1,-0.068272849188,-0.002140541003,-0.096183767528,0.0,0.0,41
nfcorpus,semantic_summary,oracle_reward,8,5,1,0.00505302427,0.002740939707,0.040240954926,0.0,0.0,41
nfcorpus,wh_word,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,wh_word,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,wh_word,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,wh_word,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,41
nfcorpus,bias,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,bias,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,bias,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,bias,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,embedding_projection,dense_advantage_vs_bm25,8,5,1,-0.000196309213,2.443193e-06,-0.000982249851,0.0,0.0,42
nfcorpus,embedding_projection,hybrid_advantage_vs_bm25,8,5,1,-5.6522383e-05,-0.000112198753,-0.025490324164,0.0,0.0,42
nfcorpus,embedding_projection,oracle_margin,8,5,1,-0.000100837028,-0.000213944999,-0.053038294803,0.0,0.0,42
nfcorpus,embedding_projection,oracle_reward,8,5,1,-0.000959474523,-0.000140174985,-0.035903943151,0.0,0.0,42
nfcorpus,lexical_semantic_interactions,dense_advantage_vs_bm25,8,5,1,-0.000184414981,0.000145165852,0.000437747454,0.0,0.0,42
nfcorpus,lexical_semantic_interactions,hybrid_advantage_vs_bm25,8,5,1,-2.9499111e-05,0.000271982639,0.002061956945,0.0,0.0,42
nfcorpus,lexical_semantic_interactions,oracle_margin,8,5,1,5.7133812e-05,0.00032047666,0.012272899354,0.0,0.0,42
nfcorpus,lexical_semantic_interactions,oracle_reward,8,5,1,-0.000620421792,-0.000945891242,-0.002320416641,0.0,0.0,42
nfcorpus,query_form,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,query_form,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,query_form,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,query_form,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,retrieval_confidence,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,retrieval_confidence,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,retrieval_confidence,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,retrieval_confidence,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,semantic_rank_agreement,dense_advantage_vs_bm25,8,5,1,0.020663830166,-0.043154265399,-0.063215054075,0.0,0.0,42
nfcorpus,semantic_rank_agreement,hybrid_advantage_vs_bm25,8,5,1,0.080150711925,0.032542786042,0.202349817327,0.0,0.0,42
nfcorpus,semantic_rank_agreement,oracle_margin,8,5,1,-0.013666004248,-0.007810587922,-0.054590412127,0.0,0.0,42
nfcorpus,semantic_rank_agreement,oracle_reward,8,5,1,0.064866287465,0.068969030242,0.170943686148,0.0,0.0,42
nfcorpus,semantic_rank_profile,dense_advantage_vs_bm25,8,5,1,0.002534242834,0.002438814121,0.000764755381,6.0,6.0,42
nfcorpus,semantic_rank_profile,hybrid_advantage_vs_bm25,8,5,1,0.007631062422,-0.002183493099,-0.040379223874,6.0,6.0,42
nfcorpus,semantic_rank_profile,oracle_margin,8,5,1,0.011016016572,0.00486028457,0.050094762874,6.0,6.0,42
nfcorpus,semantic_rank_profile,oracle_reward,8,5,1,0.021378250985,0.008955137268,0.063799790636,6.0,6.0,42
nfcorpus,semantic_score_shape,dense_advantage_vs_bm25,8,5,1,-0.001198259521,-0.001743200925,-0.003004564539,0.0,0.0,42
nfcorpus,semantic_score_shape,hybrid_advantage_vs_bm25,8,5,1,-0.002483925042,-0.002227204358,-0.017524651032,0.0,0.0,42
nfcorpus,semantic_score_shape,oracle_margin,8,5,1,-0.000762966002,0.001971180588,0.035315446461,0.0,0.0,42
nfcorpus,semantic_score_shape,oracle_reward,8,5,1,-0.000342396657,-0.001765212069,-0.10355309867,0.0,0.0,42
nfcorpus,semantic_summary,dense_advantage_vs_bm25,8,5,1,-0.004371138266,-0.00511762636,-0.018867435178,0.0,0.0,42
nfcorpus,semantic_summary,hybrid_advantage_vs_bm25,8,5,1,-0.003320261665,-0.004395170698,-0.037910925148,0.0,0.0,42
nfcorpus,semantic_summary,oracle_margin,8,5,1,-0.002252561697,0.004687315051,0.047258740728,0.0,0.0,42
nfcorpus,semantic_summary,oracle_reward,8,5,1,0.003634391521,-0.004013246897,0.011573462209,0.0,0.0,42
nfcorpus,wh_word,dense_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,wh_word,hybrid_advantage_vs_bm25,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,wh_word,oracle_margin,8,5,1,0.0,0.0,0.0,0.0,0.0,42
nfcorpus,wh_word,oracle_reward,8,5,1,0.0,0.0,0.0,0.0,0.0,42
