dataset,group,target,semantic_depth,baseline_semantic_depth,n_runs,active_columns_delta_mean,width_delta_mean,train_r2_delta_across_seed_mean,train_r2_delta_across_seed_std,test_r2_delta_across_seed_mean,test_r2_delta_across_seed_std,test_r2_delta_positive_rate,test_corr_delta_across_seed_mean,test_corr_delta_across_seed_std,test_corr_delta_positive_rate
nfcorpus_repeated_semantic_depth,bias,dense_advantage_vs_bm25,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,bias,hybrid_advantage_vs_bm25,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,bias,oracle_margin,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,bias,oracle_reward,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,embedding_projection,dense_advantage_vs_bm25,8,5,3,0.0,0.0,-5.8639257e-05,9.78279420222973e-05,9.211716700000001e-05,0.00022665838905069994,0.6666666666666666,0.01916248107,0.06315192875546777,0.3333333333333333
nfcorpus_repeated_semantic_depth,embedding_projection,hybrid_advantage_vs_bm25,8,5,3,0.0,0.0,1.6939444333333336e-05,8.101339766034051e-05,0.00023410611566666666,0.00038192736673912204,0.6666666666666666,0.054936527975,0.08260416469810271,0.6666666666666666
nfcorpus_repeated_semantic_depth,embedding_projection,oracle_margin,8,5,3,0.0,0.0,-3.922366666666664e-06,9.261554374778162e-05,-0.00028720476000000005,0.00027569011254442873,0.3333333333333333,-0.035010706287666664,0.03876638366134709,0.3333333333333333
nfcorpus_repeated_semantic_depth,embedding_projection,oracle_reward,8,5,3,0.0,0.0,-0.00035175983799999995,0.00044674901845117513,5.4391626999999997e-05,0.0001386333745483163,0.6666666666666666,0.017042007262666668,0.04014969122363067,0.6666666666666666
nfcorpus_repeated_semantic_depth,lexical_semantic_interactions,dense_advantage_vs_bm25,8,5,3,0.0,0.0,-0.0005167397013333333,0.0006332269699827752,-0.0009293994076666666,0.0007604566977331593,0.3333333333333333,-0.002819705463,0.004263288424442499,0.3333333333333333
nfcorpus_repeated_semantic_depth,lexical_semantic_interactions,hybrid_advantage_vs_bm25,8,5,3,0.0,0.0,-3.3536105e-05,6.730137078411597e-05,-0.000809104257,0.0013833568830808178,0.6666666666666666,0.00029688811199999997,0.0013768763194676676,0.6666666666666666
nfcorpus_repeated_semantic_depth,lexical_semantic_interactions,oracle_margin,8,5,3,0.0,0.0,-0.014552285039333332,0.025978933345994413,-0.00036399520833333326,0.001081356721369153,0.6666666666666666,0.006029878850333333,0.004446635248817978,1.0
nfcorpus_repeated_semantic_depth,lexical_semantic_interactions,oracle_reward,8,5,3,0.0,0.0,-0.00012476278966666666,0.00036412464327935466,-0.001181165505,0.000896014571572654,0.0,-0.0023769867983333332,0.0016214584189285367,0.0
nfcorpus_repeated_semantic_depth,query_form,dense_advantage_vs_bm25,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,query_form,hybrid_advantage_vs_bm25,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,query_form,oracle_margin,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,query_form,oracle_reward,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,retrieval_confidence,dense_advantage_vs_bm25,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,retrieval_confidence,hybrid_advantage_vs_bm25,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,retrieval_confidence,oracle_margin,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,retrieval_confidence,oracle_reward,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,semantic_rank_agreement,dense_advantage_vs_bm25,8,5,3,0.0,0.0,-0.019416372913666668,0.047857695967197356,0.065917989663,0.09955755102923401,0.6666666666666666,0.05067715980233333,0.1124744845655981,0.6666666666666666
