dataset,group,target,semantic_depth,baseline_semantic_depth,n_runs,active_columns_delta_mean,width_delta_mean,train_r2_delta_across_seed_mean,train_r2_delta_across_seed_std,test_r2_delta_across_seed_mean,test_r2_delta_across_seed_std,test_r2_delta_positive_rate,test_corr_delta_across_seed_mean,test_corr_delta_across_seed_std,test_corr_delta_positive_rate
nfcorpus_repeated_semantic_depth,bias,dense_advantage_vs_bm25,8,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,bias,hybrid_advantage_vs_bm25,8,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,bias,oracle_margin,8,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,bias,oracle_reward,8,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,embedding_projection,dense_advantage_vs_bm25,8,5,2,0.0,0.0,-0.0001374465755,5.26084935e-05,-1.2958183500000002e-05,5.24200215e-05,0.5,0.010491375345,0.023994556637,0.5
nfcorpus_repeated_semantic_depth,embedding_projection,hybrid_advantage_vs_bm25,8,5,2,0.0,0.0,3.3901196e-05,4.352146e-05,-0.0001283263585,8.07630235e-05,0.0,0.0075031813305000035,0.055929647200500004,0.5
nfcorpus_repeated_semantic_depth,embedding_projection,oracle_margin,8,5,2,0.0,0.0,-5.82127515e-05,9.86719500000002e-07,-0.000101344961,0.000109847163,0.5,-0.018894889099,0.041566325632,0.5
nfcorpus_repeated_semantic_depth,embedding_projection,oracle_reward,8,5,2,0.0,0.0,-0.0005277135930000001,0.000504998188,-0.0003083824585,0.0003498688325,0.5,-0.0409932556185,0.11433145842949999,0.5
nfcorpus_repeated_semantic_depth,lexical_semantic_interactions,dense_advantage_vs_bm25,8,5,2,0.0,0.0,-0.000292332701,5.721392000000014e-06,-0.00013735996550000003,0.0007635564545,0.5,0.000912924868,0.00016557590500000002,1.0
nfcorpus_repeated_semantic_depth,lexical_semantic_interactions,hybrid_advantage_vs_bm25,8,5,2,0.0,0.0,-0.00031185995,0.000354941276,-0.0020042398095,0.0022981841094999998,0.5,0.0002037317255,0.0018070118485000002,0.5
nfcorpus_repeated_semantic_depth,lexical_semantic_interactions,oracle_margin,8,5,2,0.0,0.0,-0.0258775926525,0.0260355384035,0.0003021235695,0.0002660121835,1.0,0.0028336359105,0.0036026985854999997,0.5
nfcorpus_repeated_semantic_depth,lexical_semantic_interactions,oracle_reward,8,5,2,0.0,0.0,0.000468710471,0.000515306524,-0.0017337058724999999,0.0017252800055,0.0,-0.0045218899425,0.0049264155855,0.5
nfcorpus_repeated_semantic_depth,query_form,dense_advantage_vs_bm25,8,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,query_form,hybrid_advantage_vs_bm25,8,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,query_form,oracle_margin,8,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
