dataset,group,target,start,end,width,active_columns,alpha,train_rows,test_rows,train_r2,test_r2,test_corr,target_train_std,target_test_std
nfcorpus,bias,oracle_reward,0,1,1,1,1.0,20,20,0.0,-0.02517577906949997,0.0,0.3420864854739541,0.3387146013087456
nfcorpus,bias,oracle_margin,0,1,1,1,1.0,20,20,0.0,-0.013109801458017545,0.0,0.05444772128466102,0.07532339741088188
nfcorpus,bias,dense_advantage_vs_bm25,0,1,1,1,1.0,20,20,0.0,-0.005132463185430369,0.0,0.29721362720225125,0.3070838262984899
nfcorpus,bias,hybrid_advantage_vs_bm25,0,1,1,1,1.0,20,20,0.0,-0.018868282536794068,0.0,0.15722590298006997,0.25459920542145903
nfcorpus,query_form,oracle_reward,1,3,2,2,1.0,20,20,0.06298650878592615,-0.04290696628749702,0.009716252312708675,0.3420864854739541,0.3387146013087456
nfcorpus,query_form,oracle_margin,1,3,2,2,1.0,20,20,0.07716343773903289,-0.006730834623307924,0.06759415684826589,0.05444772128466102,0.07532339741088188
nfcorpus,query_form,dense_advantage_vs_bm25,1,3,2,2,1.0,20,20,0.11287043919979134,0.03368176444761739,0.21564868833152864,0.29721362720225125,0.3070838262984899
nfcorpus,query_form,hybrid_advantage_vs_bm25,1,3,2,2,1.0,20,20,0.1343215778918937,0.010570045569074482,0.21122353727643436,0.15722590298006997,0.25459920542145903
nfcorpus,retrieval_confidence,oracle_reward,3,6,3,3,1.0,20,20,0.10917851767336806,0.017793337233592776,0.15659540347101897,0.3420864854739541,0.3387146013087456
nfcorpus,retrieval_confidence,oracle_margin,3,6,3,3,1.0,20,20,0.029816641458256465,0.007834291372649238,0.3290146293631933,0.05444772128466102,0.07532339741088188
nfcorpus,retrieval_confidence,dense_advantage_vs_bm25,3,6,3,3,1.0,20,20,0.2030903222102134,0.12267084381435789,0.37626031601978066,0.29721362720225125,0.3070838262984899
nfcorpus,retrieval_confidence,hybrid_advantage_vs_bm25,3,6,3,3,1.0,20,20,0.08523603491454335,0.05961008462574502,0.44468303561799605,0.15722590298006997,0.25459920542145903
nfcorpus,wh_word,oracle_reward,6,14,8,5,1.0,20,20,0.04199352658820277,0.03322887497747684,0.3766226609827379,0.3420864854739541,0.3387146013087456
nfcorpus,wh_word,oracle_margin,6,14,8,5,1.0,20,20,0.7930694787138243,0.19616185625113658,0.9102670568480621,0.05444772128466102,0.07532339741088188
nfcorpus,wh_word,dense_advantage_vs_bm25,6,14,8,5,1.0,20,20,0.10540739570962354,-0.08191054278752263,-0.1553599379780171,0.29721362720225125,0.3070838262984899
nfcorpus,wh_word,hybrid_advantage_vs_bm25,6,14,8,5,1.0,20,20,0.20833786453835057,-0.032387125613277945,-0.027496067393057513,0.15722590298006997,0.25459920542145903
nfcorpus,semantic_summary,oracle_reward,14,23,9,9,1.0,20,20,0.025165369242709734,-0.023505069532349765,0.08466565059573743,0.3420864854739541,0.3387146013087456
nfcorpus,semantic_summary,oracle_margin,14,23,9,9,1.0,20,20,0.021378097781999617,-0.021285310453375894,-0.04821370974377775,0.05444772128466102,0.07532339741088188
nfcorpus,semantic_summary,dense_advantage_vs_bm25,14,23,9,9,1.0,20,20,0.07388421812699164,0.051140235428425385,0.4130243644270222,0.29721362720225125,0.3070838262984899
nfcorpus,semantic_summary,hybrid_advantage_vs_bm25,14,23,9,9,1.0,20,20,0.03812028989515115,0.0050997472439993086,0.37673519170056124,0.15722590298006997,0.25459920542145903
nfcorpus,semantic_rank_profile,oracle_reward,23,32,9,9,1.0,20,20,0.02393121563537337,-0.031055926119369026,-0.04371087844848018,0.3420864854739541,0.3387146013087456
nfcorpus,semantic_rank_profile,oracle_margin,23,32,9,9,1.0,20,20,0.053356205221787856,-0.011850262481309048,0.03660103360401803,0.05444772128466102,0.07532339741088188
nfcorpus,semantic_rank_profile,dense_advantage_vs_bm25,23,32,9,9,1.0,20,20,0.06289486970741243,0.05978415917545965,0.48618657844057744,0.29721362720225125,0.3070838262984899
nfcorpus,semantic_rank_profile,hybrid_advantage_vs_bm25,23,32,9,9,1.0,20,20,0.06423627498860318,0.011480024963789637,0.4299854629078758,0.15722590298006997,0.25459920542145903
nfcorpus,semantic_rank_agreement,oracle_reward,32,38,6,6,1.0,20,20,0.13588241511645116,-0.3162254974656056,-0.29022604047501616,0.3420864854739541,0.3387146013087456
nfcorpus,semantic_rank_agreement,oracle_margin,32,38,6,6,1.0,20,20,0.17297744356214106,0.019017019932902945,0.14705447505867525,0.05444772128466102,0.07532339741088188
nfcorpus,semantic_rank_agreement,dense_advantage_vs_bm25,32,38,6,6,1.0,20,20,0.3291962329882546,0.1405052644539332,0.4689762288461583,0.29721362720225125,0.3070838262984899
nfcorpus,semantic_rank_agreement,hybrid_advantage_vs_bm25,32,38,6,6,1.0,20,20,0.1498940988573858,0.019598716774132385,0.3496915124441079,0.15722590298006997,0.25459920542145903
nfcorpus,embedding_projection,oracle_reward,38,50,12,12,1.0,20,20,0.004263768589344852,-0.025280009125246306,0.0034185205264242024,0.3420864854739541,0.3387146013087456
nfcorpus,embedding_projection,oracle_margin,38,50,12,12,1.0,20,20,0.0034858780449442683,-0.013477264432194325,-0.11333234414048923,0.05444772128466102,0.07532339741088188
nfcorpus,embedding_projection,dense_advantage_vs_bm25,38,50,12,12,1.0,20,20,0.0050048667171858074,-0.005597768195433783,-0.08981413652687643,0.29721362720225125,0.3070838262984899
nfcorpus,embedding_projection,hybrid_advantage_vs_bm25,38,50,12,12,1.0,20,20,0.005898555193833643,-0.01876626040670959,0.01676660283315832,0.15722590298006997,0.25459920542145903
nfcorpus,lexical_semantic_interactions,oracle_reward,50,56,6,6,1.0,20,20,0.07464789785185288,-0.01123124045095203,0.05999060340158822,0.3420864854739541,0.3387146013087456
nfcorpus,lexical_semantic_interactions,oracle_margin,50,56,6,6,1.0,20,20,0.003598983277976364,-0.0036087546686005556,0.2736240891055291,0.05444772128466102,0.07532339741088188
nfcorpus,lexical_semantic_interactions,dense_advantage_vs_bm25,50,56,6,6,1.0,20,20,0.1862961831369203,0.10710196797278204,0.3484907837647792,0.29721362720225125,0.3070838262984899
nfcorpus,lexical_semantic_interactions,hybrid_advantage_vs_bm25,50,56,6,6,1.0,20,20,0.06251434418834867,0.0457355037085313,0.43283305446404047,0.15722590298006997,0.25459920542145903
