dataset,group,target,start,end,width,active_columns,alpha,train_rows,test_rows,train_r2,test_r2,test_corr,target_train_std,target_test_std,semantic_depth
nfcorpus,bias,oracle_reward,0,1,1,1,1.0,20,20,0.0,-0.0251757790694999,0.0,0.3420864854739541,0.3387146013087456,5
nfcorpus,bias,oracle_margin,0,1,1,1,1.0,20,20,0.0,-0.0131098014580175,0.0,0.054447721284661,0.0753233974108818,5
nfcorpus,bias,dense_advantage_vs_bm25,0,1,1,1,1.0,20,20,0.0,-0.0051324631854303,0.0,0.2972136272022512,0.3070838262984899,5
nfcorpus,bias,hybrid_advantage_vs_bm25,0,1,1,1,1.0,20,20,0.0,-0.018868282536794,0.0,0.1572259029800699,0.254599205421459,5
nfcorpus,query_form,oracle_reward,1,3,2,2,1.0,20,20,0.0629865087859261,-0.042906966287497,0.0097162523127086,0.3420864854739541,0.3387146013087456,5
nfcorpus,query_form,oracle_margin,1,3,2,2,1.0,20,20,0.0771634377390328,-0.0067308346233079,0.0675941568482658,0.054447721284661,0.0753233974108818,5
nfcorpus,query_form,dense_advantage_vs_bm25,1,3,2,2,1.0,20,20,0.1128704391997913,0.0336817644476173,0.2156486883315286,0.2972136272022512,0.3070838262984899,5
nfcorpus,query_form,hybrid_advantage_vs_bm25,1,3,2,2,1.0,20,20,0.1343215778918937,0.0105700455690744,0.2112235372764343,0.1572259029800699,0.254599205421459,5
nfcorpus,retrieval_confidence,oracle_reward,3,6,3,3,1.0,20,20,0.109178517673368,0.0177933372335927,0.1565954034710189,0.3420864854739541,0.3387146013087456,5
nfcorpus,retrieval_confidence,oracle_margin,3,6,3,3,1.0,20,20,0.0298166414582564,0.0078342913726492,0.3290146293631933,0.054447721284661,0.0753233974108818,5
nfcorpus,retrieval_confidence,dense_advantage_vs_bm25,3,6,3,3,1.0,20,20,0.2030903222102134,0.1226708438143578,0.3762603160197806,0.2972136272022512,0.3070838262984899,5
nfcorpus,retrieval_confidence,hybrid_advantage_vs_bm25,3,6,3,3,1.0,20,20,0.0852360349145433,0.059610084625745,0.444683035617996,0.1572259029800699,0.254599205421459,5
nfcorpus,wh_word,oracle_reward,6,14,8,5,1.0,20,20,0.0419935265882027,0.0332288749774768,0.3766226609827379,0.3420864854739541,0.3387146013087456,5
nfcorpus,wh_word,oracle_margin,6,14,8,5,1.0,20,20,0.7930694787138243,0.1961618562511365,0.910267056848062,0.054447721284661,0.0753233974108818,5
nfcorpus,wh_word,dense_advantage_vs_bm25,6,14,8,5,1.0,20,20,0.1054073957096235,-0.0819105427875226,-0.1553599379780171,0.2972136272022512,0.3070838262984899,5
nfcorpus,wh_word,hybrid_advantage_vs_bm25,6,14,8,5,1.0,20,20,0.2083378645383505,-0.0323871256132779,-0.0274960673930575,0.1572259029800699,0.254599205421459,5
nfcorpus,semantic_summary,oracle_reward,14,23,9,9,1.0,20,20,0.0251653692427097,-0.0235050695323497,0.0846656505957374,0.3420864854739541,0.3387146013087456,5
nfcorpus,semantic_summary,oracle_margin,14,23,9,9,1.0,20,20,0.0213780977819996,-0.0212853104533758,-0.0482137097437777,0.054447721284661,0.0753233974108818,5
nfcorpus,semantic_summary,dense_advantage_vs_bm25,14,23,9,9,1.0,20,20,0.0738842181269916,0.0511402354284253,0.4130243644270222,0.2972136272022512,0.3070838262984899,5
nfcorpus,semantic_summary,hybrid_advantage_vs_bm25,14,23,9,9,1.0,20,20,0.0381202898951511,0.0050997472439993,0.3767351917005612,0.1572259029800699,0.254599205421459,5
nfcorpus,semantic_rank_profile,oracle_reward,23,32,9,9,1.0,20,20,0.0239312156353733,-0.031055926119369,-0.0437108784484801,0.3420864854739541,0.3387146013087456,5
nfcorpus,semantic_rank_profile,oracle_margin,23,32,9,9,1.0,20,20,0.0533562052217878,-0.011850262481309,0.036601033604018,0.054447721284661,0.0753233974108818,5
nfcorpus,semantic_rank_profile,dense_advantage_vs_bm25,23,32,9,9,1.0,20,20,0.0628948697074124,0.0597841591754596,0.4861865784405774,0.2972136272022512,0.3070838262984899,5
nfcorpus,semantic_rank_profile,hybrid_advantage_vs_bm25,23,32,9,9,1.0,20,20,0.0642362749886031,0.0114800249637896,0.4299854629078758,0.1572259029800699,0.254599205421459,5
nfcorpus,semantic_rank_agreement,oracle_reward,32,38,6,6,1.0,20,20,0.1358824151164511,-0.3162254974656056,-0.2902260404750161,0.3420864854739541,0.3387146013087456,5
nfcorpus,semantic_rank_agreement,oracle_margin,32,38,6,6,1.0,20,20,0.172977443562141,0.0190170199329029,0.1470544750586752,0.054447721284661,0.0753233974108818,5
nfcorpus,semantic_rank_agreement,dense_advantage_vs_bm25,32,38,6,6,1.0,20,20,0.3291962329882546,0.1405052644539332,0.4689762288461583,0.2972136272022512,0.3070838262984899,5
nfcorpus,semantic_rank_agreement,hybrid_advantage_vs_bm25,32,38,6,6,1.0,20,20,0.1498940988573858,0.0195987167741323,0.3496915124441079,0.1572259029800699,0.254599205421459,5
nfcorpus,embedding_projection,oracle_reward,38,50,12,12,1.0,20,20,0.0042637685893448,-0.0252800091252463,0.0034185205264242,0.3420864854739541,0.3387146013087456,5
nfcorpus,embedding_projection,oracle_margin,38,50,12,12,1.0,20,20,0.0034858780449442,-0.0134772644321943,-0.1133323441404892,0.054447721284661,0.0753233974108818,5
nfcorpus,embedding_projection,dense_advantage_vs_bm25,38,50,12,12,1.0,20,20,0.0050048667171858,-0.0055977681954337,-0.0898141365268764,0.2972136272022512,0.3070838262984899,5
nfcorpus,embedding_projection,hybrid_advantage_vs_bm25,38,50,12,12,1.0,20,20,0.0058985551938336,-0.0187662604067095,0.0167666028331583,0.1572259029800699,0.254599205421459,5
nfcorpus,lexical_semantic_interactions,oracle_reward,50,56,6,6,1.0,20,20,0.0746478978518528,-0.011231240450952,0.0599906034015882,0.3420864854739541,0.3387146013087456,5
nfcorpus,lexical_semantic_interactions,oracle_margin,50,56,6,6,1.0,20,20,0.0035989832779763,-0.0036087546686005,0.2736240891055291,0.054447721284661,0.0753233974108818,5
