dataset,policy,step,chosen_action,oracle_action,reward,oracle_reward,regret,cumulative_reward,cumulative_oracle_reward,cumulative_regret,moving_average_reward,oracle_match_rate,action_entropy
scifact,Full-information direct method,0,bm25_keep,bm25_keep,1.5,1.5,0.0,1.5,1.5,0.0,1.5,1.0,-0.0
scifact,Full-information direct method,1,hybrid_keyword,bm25_keep,1.22,1.25,0.030000000000000027,2.7199999999999998,2.75,0.030000000000000027,1.3599999999999999,0.5,1.0
scifact,Full-information direct method,2,bm25_keep,bm25_keep,0.0,0.0,0.0,2.7199999999999998,2.75,0.030000000000000027,0.9066666666666666,0.6666666666666666,0.9182958340544896
scifact,Full-information direct method,3,hybrid_keep,bm25_keep,1.47,1.5,0.030000000000000027,4.1899999999999995,4.25,0.06000000000000005,1.0474999999999999,0.5,1.5
scifact,Full-information direct method,4,hybrid_keyword,bm25_keep,1.47,1.5,0.030000000000000027,5.659999999999999,5.75,0.09000000000000008,1.1320000000000001,0.4,1.5219280948873621
scifact,Full-information direct method,5,hybrid_keyword,bm25_keep,1.47,1.5,0.030000000000000027,7.129999999999999,7.25,0.1200000000000001,1.1883333333333332,0.3333333333333333,1.4591479170272448
scifact,Full-information direct method,6,hybrid_keyword,dense_keep,1.22,1.25,0.030000000000000027,8.35,8.5,0.15000000000000013,1.1928571428571428,0.2857142857142857,1.3787834934861753
scifact,Full-information direct method,7,dense_keep,bm25_keep,0.0,0.75,0.75,8.35,9.25,0.9000000000000001,1.04375,0.25,1.75
scifact,Full-information direct method,8,bm25_keyword,bm25_keep,1.5,1.5,0.0,9.85,10.75,0.9000000000000001,1.0944444444444443,0.2222222222222222,2.058813890331201
scifact,Full-information direct method,9,hybrid_keyword,bm25_keep,-0.03,0.0,0.03,9.82,10.75,0.9300000000000002,0.982,0.2,1.9609640474436814
scifact,Full-information direct method,10,dense_keep,bm25_keep,0.0,1.25,1.25,9.82,12.0,2.18,0.8927272727272727,0.18181818181818182,2.0403733936884962
scifact,Full-information direct method,11,bm25_keyword,bm25_keep,1.5,1.5,0.0,11.32,13.5,2.18,0.9433333333333334,0.16666666666666666,2.1174924611847548
scifact,Full-information direct method,12,dense_keep,bm25_keep,0.0,0.0,0.0,11.32,13.5,2.18,0.8707692307692307,0.15384615384615385,2.1339375660949167
scifact,Full-information direct method,13,hybrid_keep,bm25_keep,-0.03,0.0,0.03,11.290000000000001,13.5,2.21,0.8064285714285714,0.14285714285714285,2.209888638014727
scifact,Full-information direct method,14,hybrid_keyword,dense_keep,-0.03,0.625,0.655,11.260000000000002,14.125,2.865,0.7506666666666667,0.13333333333333333,2.155913095175825
scifact,Full-information direct method,15,hybrid_keep,hybrid_keep,0.8033333333333332,0.8033333333333332,0.0,12.063333333333334,14.928333333333333,2.865,0.7539583333333333,0.1875,2.186278124459133
scifact,Full-information direct method,16,hybrid_keyword,bm25_keep,1.47,1.5,0.030000000000000027,13.533333333333335,16.428333333333335,2.8950000000000005,0.796078431372549,0.17647058823529413,2.136800520148565
scifact,Full-information direct method,17,hybrid_keyword,bm25_keep,1.47,1.5,0.030000000000000027,15.003333333333336,17.928333333333335,2.9250000000000007,0.8335185185185185,0.16666666666666666,2.086048612313038
scifact,Full-information direct method,18,hybrid_keyword,bm25_keep,-0.03,0.0,0.03,14.973333333333336,17.928333333333335,2.9550000000000005,0.7880701754385965,0.15789473684210525,2.0353433020063356
scifact,Full-information direct method,19,hybrid_keyword,dense_keep,1.47,1.5,0.030000000000000027,16.443333333333335,19.428333333333335,2.9850000000000003,0.8221666666666666,0.15,1.9854752972273344
scifact,Full-information direct method,20,hybrid_keyword,dense_keep,1.07,1.1666666666666667,0.09666666666666668,17.513333333333335,20.595000000000002,3.081666666666667,0.8339682539682539,0.14285714285714285,1.9369115747150838
scifact,Full-information direct method,21,hybrid_keyword,bm25_keep,1.47,1.5,0.030000000000000027,18.983333333333334,22.095000000000002,3.1116666666666672,0.8628787878787879,0.13636363636363635,1.8899168453199877
scifact,Full-information direct method,22,hybrid_keyword,bm25_keep,-0.03,0.0,0.03,18.953333333333333,22.095000000000002,3.141666666666667,0.8240579710144927,0.13043478260869565,1.8446275499630505
scifact,Full-information direct method,23,dense_keep,bm25_keep,0.0,0.0,0.0,18.953333333333333,22.095000000000002,3.141666666666667,0.7897222222222222,0.125,1.8824373408045867
