dataset,split,bucket_feature,bucket,method,n_queries,recall_at_5,mrr,ndcg_at_5,reward,reward_delta_vs_train_best,reward_delta_vs_heuristic,rewrite_cost,retrieval_calls,oracle_margin,oracle_tie_count
scifact,test,state_question_length,low,Train-best retrieval action,100,0.7725,0.6531666666666667,0.6771365743137917,1.0690833333333334,0.0,0.040000000000000036,0.03,2.0,0.019566666666666666,5.43
scifact,test,state_question_length,low,Heuristic retrieval router,100,0.7183333333333333,0.6214999999999999,0.6385882379251129,1.0290833333333333,-0.040000000000000036,0.0,0.0,1.0,0.019566666666666666,5.43
scifact,test,state_question_length,low,Selective retrieval policy,100,0.7861666666666668,0.6576666666666665,0.6813142951946424,1.0981999999999998,0.029116666666666458,0.06911666666666649,0.0168,1.56,0.019566666666666666,5.43
scifact,test,state_question_length,low,Confidence-gated retrieval policy,100,0.7861666666666668,0.6576666666666665,0.6813142951946424,1.0981999999999998,0.029116666666666458,0.06911666666666649,0.0168,1.56,0.019566666666666666,5.43
scifact,test,state_question_length,low,Oracle retrieval action,100,0.857,0.7461666666666666,0.7677126278609145,1.2297833333333332,0.16069999999999984,0.20069999999999988,0.0003,1.01,0.019566666666666666,5.43
scifact,test,state_question_length,mid,Train-best retrieval action,115,0.7369565217391304,0.6455072463768116,0.6683746974972475,1.0297101449275365,0.0,-0.008710144927535746,0.030000000000000006,2.0,0.03644927536231884,6.113043478260869
scifact,test,state_question_length,mid,Heuristic retrieval router,115,0.7195652173913043,0.6392753623188405,0.6555499977457308,1.0384202898550723,0.008710144927535746,0.0,0.0007826086956521738,1.0260869565217392,0.03644927536231884,6.113043478260869
scifact,test,state_question_length,mid,Selective retrieval policy,115,0.7565217391304347,0.6650724637681159,0.6858855855844982,1.0783623188405798,0.04865217391304322,0.03994202898550747,0.010695652173913044,1.3565217391304347,0.03644927536231884,6.113043478260869
scifact,test,state_question_length,mid,Confidence-gated retrieval policy,115,0.7565217391304347,0.6650724637681159,0.6858855855844982,1.0783623188405798,0.04865217391304322,0.03994202898550747,0.010695652173913044,1.3565217391304347,0.03644927536231884,6.113043478260869
scifact,test,state_question_length,mid,Oracle retrieval action,115,0.8,0.7091304347826088,0.729977666256398,1.154304347826087,0.1245942028985505,0.11588405797101475,0.0002608695652173913,1.008695652173913,0.03644927536231884,6.113043478260869
scifact,test,state_question_length,high,Train-best retrieval action,85,0.7856862745098039,0.6464705882352941,0.6756623989014756,1.0789215686274511,0.0,-0.004529411764705893,0.029999999999999992,2.0,0.05641176470588235,5.541176470588235
scifact,test,state_question_length,high,Heuristic retrieval router,85,0.7699999999999999,0.636078431372549,0.6601292617063685,1.083450980392157,0.004529411764705893,0.0,0.004588235294117647,1.1529411764705881,0.05641176470588235,5.541176470588235
scifact,test,state_question_length,high,Selective retrieval policy,85,0.7821568627450979,0.6503921568627451,0.6729450739162794,1.0978235294117646,0.0189019607843135,0.014372549019607606,0.009529411764705883,1.3176470588235294,0.05641176470588235,5.541176470588235
