dataset,split,confidence_gate_margin,n_queries,fallback_count,fallback_rate,selective_recall_at_5,train_best_recall_at_5,gated_recall_at_5,selective_mrr,train_best_mrr,gated_mrr,selective_ndcg_at_5,train_best_ndcg_at_5,gated_ndcg_at_5,selective_reward,train_best_reward,gated_reward,gated_reward_delta_vs_selective,gated_reward_delta_vs_train_best,selective_rewrite_cost,train_best_rewrite_cost,gated_rewrite_cost,selective_retrieval_calls,train_best_retrieval_calls,gated_retrieval_calls,gated_call_delta_vs_selective,gated_call_delta_vs_train_best
scifact_main,test,0.0,300,0,0.0,0.7736666666666666,0.762611111111111,0.7736666666666666,0.6584444444444445,0.6483333333333333,0.6584444444444445,0.6806953438152175,0.6733601718339604,0.6806953438152175,1.090488888888889,1.0567777777777778,1.090488888888889,0.0,0.033711111111,0.0124,0.03,0.0124,1.4133333333333333,2.0,1.4133333333333333,0.0,-0.586666666667
scifact_main,test,0.001,300,21,0.07,0.7736666666666666,0.762611111111111,0.7753333333333333,0.6584444444444445,0.6483333333333333,0.6584444444444445,0.6806953438152175,0.6733601718339604,0.68171725580316,1.090488888888889,1.0567777777777778,1.0910555555555554,0.000566666667,0.034277777778,0.0124,0.03,0.0135,1.4133333333333333,2.0,1.45,0.036666666667,-0.55
scifact_main,test,0.005,300,112,0.37333333333333335,0.7736666666666666,0.762611111111111,0.7706666666666666,0.6584444444444445,0.6483333333333333,0.6567777777777778,0.6806953438152175,0.6733601718339604,0.6798734812551686,1.090488888888889,1.0567777777777778,1.0802555555555555,-0.010233333333,0.023477777778,0.0124,0.03,0.018799999999999997,1.4133333333333333,2.0,1.6266666666666667,0.213333333333,-0.373333333333
scifact_main,test,0.01,300,185,0.6166666666666667,0.7736666666666666,0.762611111111111,0.7656666666666666,0.6584444444444445,0.6483333333333333,0.6520555555555556,0.6806953438152175,0.6733601718339604,0.675595872852753,1.090488888888889,1.0567777777777778,1.0684944444444442,-0.021994444444,0.011716666667,0.0124,0.03,0.0232,1.4133333333333333,2.0,1.7733333333333334,0.36,-0.226666666667
scifact_main,test,0.02,300,249,0.83,0.7736666666666666,0.762611111111111,0.7573333333333333,0.6584444444444445,0.6483333333333333,0.6455555555555555,0.6806953438152175,0.6733601718339604,0.6699674672651744,1.090488888888889,1.0567777777777778,1.053311111111111,-0.037177777778,-0.003466666667,0.0124,0.03,0.026799999999999997,1.4133333333333333,2.0,1.8933333333333333,0.48,-0.106666666667
scifact_main,test,0.05,300,293,0.9766666666666667,0.7736666666666666,0.762611111111111,0.7634444444444444,0.6584444444444445,0.6483333333333333,0.6482222222222221,0.6806953438152175,0.6733601718339604,0.6738833587396523,1.090488888888889,1.0567777777777778,1.0582555555555557,-0.032233333333,0.001477777778,0.0124,0.03,0.029299999999999996,1.4133333333333333,2.0,1.9766666666666666,0.563333333333,-0.023333333333
scifact_main,test,0.1,300,300,1.0,0.7736666666666666,0.762611111111111,0.762611111111111,0.6584444444444445,0.6483333333333333,0.6483333333333333,0.6806953438152175,0.6733601718339604,0.6733601718339604,1.090488888888889,1.0567777777777778,1.0567777777777778,-0.033711111111,0.0,0.0124,0.03,0.03,1.4133333333333333,2.0,2.0,0.586666666667,0.0
scifact_main,train,0.0,600,0,0.0,0.8083333333333333,0.7681944444444444,0.8083333333333333,0.6879722222222222,0.6519444444444444,0.6879722222222222,0.7117097016467525,0.6758926814653561,0.7117097016467525,1.1412194444444446,1.0641666666666667,1.1412194444444446,0.0,0.077052777778,0.0111,0.03,0.0111,1.37,2.0,1.37,0.0,-0.63
scifact_main,train,0.001,600,42,0.07,0.8083333333333333,0.7681944444444444,0.8083333333333333,0.6879722222222222,0.6519444444444444,0.6861666666666667,0.7117097016467525,0.6758926814653561,0.7104795548948022,1.1412194444444446,1.0641666666666667,1.1388666666666665,-0.002352777778,0.0747,0.0111,0.03,0.012549999999999999,1.37,2.0,1.4183333333333332,0.048333333333,-0.581666666667
scifact_main,train,0.005,600,217,0.3616666666666667,0.8083333333333333,0.7681944444444444,0.8044444444444444,0.6879722222222222,0.6519444444444444,0.6798611111111111,0.7117097016467525,0.6758926814653561,0.7046386216153946,1.1412194444444446,1.0641666666666667,1.1265250000000002,-0.014694444444,0.062358333333,0.0111,0.03,0.01785,1.37,2.0,1.595,0.225,-0.405
scifact_main,train,0.01,600,371,0.6183333333333333,0.8083333333333333,0.7681944444444444,0.8008333333333333,0.6879722222222222,0.6519444444444444,0.67225,0.7117097016467525,0.6758926814653561,0.6981884049929092,1.1412194444444446,1.0641666666666667,1.1138583333333332,-0.027361111111,0.049691666667,0.0111,0.03,0.0231,1.37,2.0,1.77,0.4,-0.23
scifact_main,train,0.02,600,494,0.8233333333333334,0.8083333333333333,0.7681944444444444,0.789861111111111,0.6879722222222222,0.6519444444444444,0.6645833333333333,0.7117097016467525,0.6758926814653561,0.6905502714937064,1.1412194444444446,1.0641666666666667,1.095902777777778,-0.045316666667,0.031736111111,0.0111,0.03,0.02625,1.37,2.0,1.875,0.505,-0.125
scifact_main,train,0.05,600,577,0.9616666666666667,0.8083333333333333,0.7681944444444444,0.7820833333333334,0.6879722222222222,0.6519444444444444,0.6571111111111111,0.7117097016467525,0.6758926814653561,0.6831817777544211,1.1412194444444446,1.0641666666666667,1.081688888888889,-0.059530555556,0.017522222222,0.0111,0.03,0.028950000000000007,1.37,2.0,1.965,0.595,-0.035
scifact_main,train,0.1,600,595,0.9916666666666667,0.8083333333333333,0.7681944444444444,0.774861111111111,0.6879722222222222,0.6519444444444444,0.6539444444444444,0.7117097016467525,0.6758926814653561,0.6790374361440803,1.1412194444444446,1.0641666666666667,1.0720833333333333,-0.069136111111,0.007916666667,0.0111,0.03,0.029750000000000002,1.37,2.0,1.9916666666666667,0.621666666667,-0.008333333333
