step,chosen_action,reward,oracle_reward,regret
0,bm25_keep,1.5,1.5,0.0
1,bm25_keep,1.25,1.25,0.0
2,bm25_keep,0.0,0.0,0.0
3,bm25_keyword,1.5,1.5,0.0
4,bm25_keyword,1.5,1.5,0.0
5,bm25_keyword,1.5,1.5,0.0
6,bm25_keyword,1.1666666666666667,1.25,0.08333333333333326
7,bm25_keyword,0.75,0.75,0.0
8,bm25_keyword,1.5,1.5,0.0
9,dense_keep,0.0,0.0,0.0
10,dense_keyword,0.0,1.25,1.25
11,bm25_keyword,1.5,1.5,0.0
12,hybrid_keep,-0.03,0.0,0.03
13,hybrid_keyword,-0.03,0.0,0.03
14,bm25_keyword,0.0,0.625,0.625
15,bm25_keep,0.5833333333333333,0.8033333333333332,0.21999999999999997
16,bm25_keyword,1.5,1.5,0.0
17,bm25_keyword,1.5,1.5,0.0
18,bm25_keyword,0.0,0.0,0.0
19,bm25_keyword,0.0,1.5,1.5
20,bm25_keyword,0.0,1.1666666666666667,1.1666666666666667
21,bm25_keyword,1.5,1.5,0.0
22,bm25_keyword,0.0,0.0,0.0
23,bm25_keep,0.0,0.0,0.0
24,bm25_keyword,1.5,1.5,0.0
25,bm25_keyword,1.5,1.5,0.0
26,bm25_keyword,1.5,1.5,0.0
27,bm25_keyword,1.1666666666666667,1.25,0.08333333333333326
28,bm25_keyword,1.5,1.5,0.0
29,bm25_keyword,1.5,1.5,0.0
30,bm25_keyword,0.0,0.0,0.0
31,bm25_keyword,1.5,1.5,0.0
32,bm25_keyword,0.0,1.5,1.5
33,bm25_keyword,1.1666666666666667,1.5,0.33333333333333326
34,bm25_keyword,1.5,1.5,0.0
35,bm25_keyword,1.5,1.5,0.0
36,bm25_keyword,1.5,1.5,0.0
37,bm25_keyword,1.5,1.5,0.0
38,bm25_keyword,1.5,1.5,0.0
39,bm25_keyword,0.625,1.125,0.5
40,bm25_keyword,0.0,1.5,1.5
41,bm25_keyword,0.0,0.0,0.0
42,bm25_keyword,1.5,1.5,0.0
43,bm25_keyword,0.6,1.25,0.65
44,bm25_keyword,0.0,1.125,1.125
45,bm25_keyword,1.5,1.5,0.0
46,bm25_keep,0.0,0.0,0.0
47,bm25_keyword,1.5,1.5,0.0
48,bm25_keyword,1.5,1.5,0.0
49,bm25_keyword,0.0,0.0,0.0
50,bm25_keyword,0.0,1.125,1.125
51,bm25_keyword,1.5,1.5,0.0
52,bm25_keyword,1.125,1.5,0.375
53,bm25_keyword,1.5,1.5,0.0
54,bm25_keyword,0.0,1.1666666666666667,1.1666666666666667
55,bm25_keyword,1.25,1.5,0.25
56,bm25_keyword,1.25,1.5,0.25
57,bm25_keyword,0.0,0.0,0.0
58,bm25_keyword,1.125,1.25,0.125
59,bm25_keyword,1.5,1.5,0.0
60,bm25_keyword,1.5,1.5,0.0
61,bm25_keyword,1.5,1.5,0.0
62,bm25_keyword,1.5,1.5,0.0
63,bm25_keyword,1.25,1.25,0.0
64,bm25_keyword,1.5,1.5,0.0
65,bm25_keyword,1.1,1.1,0.0
66,bm25_keyword,1.5,1.5,0.0
67,bm25_keyword,0.0,0.0,0.0
68,bm25_keyword,1.5,1.5,0.0
69,bm25_keyword,1.5,1.5,0.0
70,bm25_keyword,1.1666666666666667,1.25,0.08333333333333326
71,bm25_keyword,1.5,1.5,0.0
72,bm25_keyword,0.0,1.125,1.125
73,bm25_keyword,0.0,1.5,1.5
74,bm25_keyword,0.9166666666666666,0.9166666666666666,0.0
75,bm25_keyword,1.5,1.5,0.0
76,bm25_keyword,1.5,1.5,0.0
77,bm25_keyword,1.1666666666666667,1.25,0.08333333333333326
78,bm25_keyword,1.5,1.5,0.0
79,dense_keep,0.0,0.0,0.0
80,bm25_keyword,1.5,1.5,0.0
81,bm25_keyword,1.25,1.5,0.25
82,bm25_keyword,0.0,1.5,1.5
83,bm25_keyword,0.0,0.0,0.0
84,bm25_keyword,1.5,1.5,0.0
85,bm25_keyword,1.5,1.5,0.0
86,bm25_keyword,0.0,0.75,0.75
87,bm25_keyword,0.0,1.5,1.5
88,bm25_keep,1.5,1.5,0.0
89,bm25_keyword,1.5,1.5,0.0
90,bm25_keyword,1.5,1.5,0.0
91,bm25_keyword,1.25,1.25,0.0
92,bm25_keyword,1.5,1.5,0.0
93,bm25_keyword,1.1666666666666667,1.5,0.33333333333333326
94,bm25_keep,0.0,1.1666666666666667,1.1666666666666667
95,bm25_keyword,1.5,1.5,0.0
96,bm25_keyword,1.1,1.1,0.0
97,bm25_keyword,0.0,0.0,0.0
98,bm25_keyword,1.5,1.5,0.0
99,bm25_keyword,1.5,1.5,0.0
100,bm25_keyword,1.5,1.5,0.0
101,bm25_keyword,0.0,1.1,1.1
102,bm25_keyword,1.5,1.5,0.0
103,bm25_keyword,1.5,1.5,0.0
104,bm25_keyword,1.5,1.5,0.0
105,bm25_keyword,0.0,0.0,0.0
106,bm25_keyword,0.0,0.0,0.0
107,bm25_keyword,1.5,1.5,0.0
108,bm25_keyword,1.5,1.5,0.0
109,bm25_keyword,1.5,1.5,0.0
110,bm25_keyword,1.5,1.5,0.0
111,bm25_keyword,0.0,1.1666666666666667,1.1666666666666667
112,dense_keyword,1.5,1.5,0.0
113,dense_keyword,1.125,1.125,0.0
114,dense_keyword,1.25,1.5,0.25
115,dense_keyword,0.0,0.0,0.0
116,bm25_keyword,1.5,1.5,0.0
117,dense_keyword,1.25,1.5,0.25
118,dense_keyword,1.1666666666666667,1.5,0.33333333333333326
119,dense_keyword,0.0,1.25,1.25
120,dense_keyword,1.25,1.5,0.25
121,dense_keyword,1.5,1.5,0.0
122,dense_keyword,1.5,1.5,0.0
123,dense_keyword,1.5,1.5,0.0
124,dense_keyword,1.5,1.5,0.0
125,dense_keyword,0.0,0.0,0.0
126,dense_keyword,1.25,1.25,0.0
127,dense_keyword,0.75,1.25,0.5
128,dense_keyword,1.5,1.5,0.0
129,dense_keyword,1.25,1.25,0.0
130,dense_keyword,1.125,1.125,0.0
131,dense_keyword,1.5,1.5,0.0
132,dense_keyword,0.0,0.0,0.0
133,dense_keyword,1.5,1.5,0.0
134,dense_keyword,0.0,0.0,0.0
135,dense_keyword,1.5,1.5,0.0
136,dense_keyword,1.25,1.5,0.25
137,dense_keyword,1.1666666666666667,1.1666666666666667,0.0
138,dense_keyword,1.5,1.5,0.0
139,dense_keyword,1.5,1.5,0.0
140,dense_keyword,1.5,1.5,0.0
141,dense_keyword,1.25,1.5,0.25
142,dense_keyword,1.25,1.25,0.0
143,dense_keyword,1.1666666666666667,1.5,0.33333333333333326
144,dense_keyword,1.5,1.5,0.0
145,dense_keyword,1.5,1.5,0.0
146,dense_keyword,1.5,1.5,0.0
147,dense_keyword,1.5,1.5,0.0
148,dense_keyword,1.125,1.5,0.375
149,dense_keyword,1.5,1.5,0.0
150,dense_keyword,1.5,1.5,0.0
151,dense_keyword,1.5,1.5,0.0
152,dense_keyword,1.1666666666666667,1.25,0.08333333333333326
153,dense_keyword,0.625,0.625,0.0
154,dense_keyword,1.25,1.5,0.25
155,dense_keyword,0.0,0.0,0.0
156,dense_keyword,1.25,1.25,0.0
157,dense_keyword,0.0,0.0,0.0
158,dense_keyword,0.0,0.0,0.0
159,dense_keyword,1.5,1.5,0.0
160,dense_keyword,1.5,1.5,0.0
161,dense_keyword,1.1,1.5,0.3999999999999999
162,bm25_keyword,1.5,1.5,0.0
163,dense_keyword,0.0,0.0,0.0
164,dense_keyword,0.0,0.0,0.0
165,dense_keyword,1.1666666666666667,1.1666666666666667,0.0
166,dense_keyword,1.25,1.5,0.25
167,dense_keyword,1.25,1.25,0.0
168,dense_keyword,1.5,1.5,0.0
169,dense_keyword,0.0,1.125,1.125
170,dense_keyword,1.5,1.5,0.0
171,dense_keyword,1.5,1.5,0.0
172,bm25_keyword,1.5,1.5,0.0
173,dense_keyword,1.125,1.5,0.375
174,dense_keyword,0.0,1.1,1.1
175,dense_keyword,0.75,1.0,0.25
176,hybrid_keyword,-0.03,0.0,0.03
177,dense_keyword,1.5,1.5,0.0
178,bm25_keyword,1.5,1.5,0.0
179,dense_keyword,1.5,1.5,0.0
180,dense_keyword,1.5,1.5,0.0
181,dense_keyword,1.5,1.5,0.0
182,dense_keyword,1.25,1.5,0.25
183,dense_keyword,1.5,1.5,0.0
184,dense_keyword,1.25,1.5,0.25
185,bm25_keyword,0.0,1.5,1.5
186,bm25_keyword,1.5,1.5,0.0
187,dense_keyword,1.5,1.5,0.0
188,bm25_keyword,1.5,1.5,0.0
189,dense_keyword,0.0,1.25,1.25
190,bm25_keyword,1.5,1.5,0.0
191,dense_keyword,1.1666666666666667,1.25,0.08333333333333326
192,dense_keyword,1.5,1.5,0.0
193,bm25_keyword,1.5,1.5,0.0
194,dense_keyword,1.5,1.5,0.0
195,dense_keyword,0.0,0.0,0.0
196,bm25_keyword,1.5,1.5,0.0
197,bm25_keyword,1.5,1.5,0.0
198,dense_keyword,0.0,1.5,1.5
199,bm25_keyword,1.5,1.5,0.0
200,bm25_keyword,1.1666666666666667,1.25,0.08333333333333326
201,dense_keyword,1.1666666666666667,1.5,0.33333333333333326
202,bm25_keyword,1.5,1.5,0.0
203,dense_keyword,1.25,1.25,0.0
204,dense_keyword,0.0,1.5,1.5
205,dense_keyword,0.0,0.0,0.0
206,dense_keyword,1.25,1.25,0.0
207,bm25_keyword,0.625,0.625,0.0
208,dense_keyword,0.0,0.0,0.0
209,dense_keyword,0.0,0.0,0.0
210,dense_keyword,1.5,1.5,0.0
211,bm25_keyword,1.5,1.5,0.0
212,bm25_keyword,1.5,1.5,0.0
213,bm25_keyword,1.5,1.5,0.0
214,bm25_keyword,0.0,1.5,1.5
215,dense_keyword,1.5,1.5,0.0
216,bm25_keyword,0.35,0.75,0.4
217,dense_keyword,0.0,1.5,1.5
218,dense_keyword,0.0,0.0,0.0
219,bm25_keep,0.0,0.0,0.0
220,bm25_keyword,1.5,1.5,0.0
221,bm25_keyword,1.5,1.5,0.0
222,dense_keyword,1.5,1.5,0.0
223,dense_keyword,0.0,0.0,0.0
224,dense_keyword,1.125,1.125,0.0
225,dense_keyword,1.25,1.25,0.0
226,dense_keyword,0.0,0.0,0.0
227,bm25_keyword,1.5,1.5,0.0
228,bm25_keyword,1.5,1.5,0.0
229,bm25_keyword,1.5,1.5,0.0
230,bm25_keyword,1.5,1.5,0.0
231,bm25_keyword,1.5,1.5,0.0
232,dense_keyword,1.5,1.5,0.0
233,bm25_keyword,1.5,1.5,0.0
234,bm25_keyword,1.5,1.5,0.0
235,dense_keyword,0.0,1.1666666666666667,1.1666666666666667
236,bm25_keyword,1.5,1.5,0.0
237,bm25_keyword,1.5,1.5,0.0
238,bm25_keyword,0.0,1.1666666666666667,1.1666666666666667
239,dense_keyword,0.0,0.0,0.0
240,dense_keyword,0.0,0.0,0.0
241,bm25_keyword,1.5,1.5,0.0
242,bm25_keyword,0.0,1.1666666666666667,1.1666666666666667
243,bm25_keyword,0.0,1.5,1.5
244,bm25_keyword,1.5,1.5,0.0
245,bm25_keyword,1.125,1.125,0.0
246,bm25_keyword,1.25,1.5,0.25
247,bm25_keyword,1.5,1.5,0.0
248,bm25_keyword,1.125,1.125,0.0
249,bm25_keyword,1.1666666666666667,1.1666666666666667,0.0
250,bm25_keyword,1.5,1.5,0.0
251,dense_keyword,1.5,1.5,0.0
252,bm25_keyword,1.5,1.5,0.0
253,bm25_keyword,1.0,1.0,0.0
254,bm25_keyword,1.5,1.5,0.0
255,bm25_keyword,1.5,1.5,0.0
256,bm25_keyword,1.1666666666666667,1.25,0.08333333333333326
257,bm25_keyword,1.1666666666666667,1.1666666666666667,0.0
258,bm25_keyword,1.5,1.5,0.0
259,bm25_keep,1.5,1.5,0.0
260,bm25_keyword,1.1666666666666667,1.1666666666666667,0.0
261,bm25_keyword,0.0,0.0,0.0
262,bm25_keyword,1.5,1.5,0.0
263,dense_keyword,1.5,1.5,0.0
264,bm25_keyword,1.5,1.5,0.0
265,bm25_keyword,1.5,1.5,0.0
266,bm25_keyword,0.0,1.125,1.125
267,bm25_keyword,0.0,0.0,0.0
268,dense_keyword,1.5,1.5,0.0
269,bm25_keyword,0.0,0.0,0.0
270,bm25_keyword,1.5,1.5,0.0
271,dense_keyword,1.5,1.5,0.0
272,bm25_keyword,1.5,1.5,0.0
273,bm25_keyword,1.5,1.5,0.0
274,bm25_keyword,1.5,1.5,0.0
275,hybrid_keep,1.22,1.5,0.28
276,hybrid_keep,1.47,1.5,0.030000000000000027
277,hybrid_keep,1.47,1.5,0.030000000000000027
278,bm25_keep,0.0,1.5,1.5
279,hybrid_keep,-0.03,0.0,0.03
280,hybrid_keep,1.47,1.5,0.030000000000000027
281,hybrid_keep,1.47,1.5,0.030000000000000027
282,hybrid_keep,1.47,1.5,0.030000000000000027
283,hybrid_keep,-0.03,0.0,0.03
284,hybrid_keep,1.47,1.5,0.030000000000000027
285,hybrid_keep,1.47,1.5,0.030000000000000027
286,hybrid_keep,1.07,1.1666666666666667,0.09666666666666668
287,hybrid_keep,-0.03,0.0,0.03
288,dense_keyword,1.5,1.5,0.0
289,hybrid_keep,1.47,1.5,0.030000000000000027
290,hybrid_keep,1.47,1.5,0.030000000000000027
291,hybrid_keep,1.47,1.5,0.030000000000000027
292,hybrid_keep,1.47,1.5,0.030000000000000027
293,dense_keyword,0.0,0.0,0.0
294,hybrid_keep,1.47,1.5,0.030000000000000027
295,hybrid_keep,1.47,1.5,0.030000000000000027
