dataset,split,logging_seed,behavior_policy,target_method,estimator,estimated_value,true_value,absolute_error,n_queries,match_rate,effective_sample_size,logged_reward,mean_propensity
scifact,test,42,uniform,Train-best retrieval action,direct_method,1.053126684198283,1.0567777777777778,0.0036510935794948907,300,0.13666666666666666,41.0,1.0713944444444443,0.16666666666666666
scifact,test,42,uniform,Train-best retrieval action,ips,0.8545666666666667,1.0567777777777778,0.20221111111111112,300,0.13666666666666666,41.0,1.0713944444444443,0.16666666666666666
scifact,test,42,uniform,Train-best retrieval action,snips,1.0421544715447155,1.0567777777777778,0.014623306233062294,300,0.13666666666666666,41.0,1.0713944444444443,0.16666666666666666
scifact,test,42,uniform,Train-best retrieval action,doubly_robust,1.0503191650661707,1.0567777777777778,0.006458612711607081,300,0.13666666666666666,41.0,1.0713944444444443,0.16666666666666666
scifact,test,42,uniform,Heuristic retrieval router,direct_method,1.0295187910692745,1.0480666666666665,0.018547875597392016,300,0.21,63.0,1.0713944444444443,0.16666666666666666
scifact,test,42,uniform,Heuristic retrieval router,ips,1.3368666666666664,1.0480666666666665,0.28879999999999995,300,0.21,63.0,1.0713944444444443,0.16666666666666666
scifact,test,42,uniform,Heuristic retrieval router,snips,1.061005291005291,1.0480666666666665,0.012938624338624471,300,0.21,63.0,1.0713944444444443,0.16666666666666666
scifact,test,42,uniform,Heuristic retrieval router,doubly_robust,1.0861837790608921,1.0480666666666665,0.03811711239422566,300,0.21,63.0,1.0713944444444443,0.16666666666666666
scifact,test,42,uniform,Selective retrieval policy,direct_method,1.067195023165042,1.090488888888889,0.023293865723847063,300,0.16,48.0,1.0713944444444443,0.16666666666666666
scifact,test,42,uniform,Selective retrieval policy,ips,1.1218333333333335,1.090488888888889,0.0313444444444444,300,0.16,48.0,1.0713944444444443,0.16666666666666666
scifact,test,42,uniform,Selective retrieval policy,snips,1.168576388888889,1.090488888888889,0.07808749999999987,300,0.16,48.0,1.0713944444444443,0.16666666666666666
scifact,test,42,uniform,Selective retrieval policy,doubly_robust,1.1033243954944625,1.090488888888889,0.012835506605573421,300,0.16,48.0,1.0713944444444443,0.16666666666666666
scifact,test,42,uniform,Confidence-gated retrieval policy,direct_method,1.067195023165042,1.090488888888889,0.023293865723847063,300,0.16,48.0,1.0713944444444443,0.16666666666666666
scifact,test,42,uniform,Confidence-gated retrieval policy,ips,1.1218333333333335,1.090488888888889,0.0313444444444444,300,0.16,48.0,1.0713944444444443,0.16666666666666666
scifact,test,42,uniform,Confidence-gated retrieval policy,snips,1.168576388888889,1.090488888888889,0.07808749999999987,300,0.16,48.0,1.0713944444444443,0.16666666666666666
scifact,test,42,uniform,Confidence-gated retrieval policy,doubly_robust,1.1033243954944625,1.090488888888889,0.012835506605573421,300,0.16,48.0,1.0713944444444443,0.16666666666666666
scifact,test,42,train_best_eps_0.2,Train-best retrieval action,direct_method,1.053126684198283,1.0567777777777778,0.0036510935794948907,300,0.83,248.99999999999997,1.0496722222222221,0.6973333333333332
scifact,test,42,train_best_eps_0.2,Train-best retrieval action,ips,1.0684533333333333,1.0567777777777778,0.011675555555555439,300,0.83,248.99999999999997,1.0496722222222221,0.6973333333333332
scifact,test,42,train_best_eps_0.2,Train-best retrieval action,snips,1.072744310575636,1.0567777777777778,0.0159665327978582,300,0.83,248.99999999999997,1.0496722222222221,0.6973333333333332
scifact,test,42,train_best_eps_0.2,Train-best retrieval action,doubly_robust,1.0841224155168179,1.0567777777777778,0.027344637739040056,300,0.83,248.99999999999997,1.0496722222222221,0.6973333333333332
scifact,test,42,train_best_eps_0.2,Heuristic retrieval router,direct_method,1.0295187910692745,1.0480666666666665,0.018547875597392016,300,0.07333333333333333,8.223234624145787,1.0496722222222221,0.6973333333333332
scifact,test,42,train_best_eps_0.2,Heuristic retrieval router,ips,0.6434,1.0480666666666665,0.4046666666666665,300,0.07333333333333333,8.223234624145787,1.0496722222222221,0.6973333333333332
scifact,test,42,train_best_eps_0.2,Heuristic retrieval router,snips,0.8465789473684209,1.0480666666666665,0.2014877192982456,300,0.07333333333333333,8.223234624145787,1.0496722222222221,0.6973333333333332
scifact,test,42,train_best_eps_0.2,Heuristic retrieval router,doubly_robust,0.7870531925496212,1.0480666666666665,0.26101347411704523,300,0.07333333333333333,8.223234624145787,1.0496722222222221,0.6973333333333332
scifact,test,42,train_best_eps_0.2,Selective retrieval policy,direct_method,1.067195023165042,1.090488888888889,0.023293865723847063,300,0.26666666666666666,14.586750788643535,1.0496722222222221,0.6973333333333332
