dataset,method_group,method,objective,objective_value,delta_vs_train_best,ci_low,ci_high,recall_at_5,mrr,ndcg_at_5,retrieval_calls,evidence_artifact_id
scifact,fixed,Train-best retrieval action,reward,1.056778,0.0,,,0.762611,0.648333,0.67336,2.0,scifact_policy_summary
scifact,heuristic,Heuristic retrieval router,reward,1.048067,-0.008711,,,0.733444,0.632444,0.651194,1.053333,scifact_policy_summary
scifact,bandit,Best selected-action bandit baseline,reward,1.062139,0.005361,,,0.739389,0.6475,0.664482,1.033333,scifact_linucb_baseline_summary
scifact,learned,Selective retrieval policy,reward,1.090489,0.033711,0.008852,0.058341,0.773667,0.658444,0.680695,1.413333,scifact_bootstrap
scifact,constrained,Constrained policy lambda=0.03,utility_lambda_0.03,1.089378,0.04735,0.014315,0.082247,0.775167,0.661222,0.685208,1.273333,scifact_constrained_policy_bootstrap
scifact,oracle,Oracle retrieval action,reward,1.206244,0.149467,,,0.8385,0.735889,0.757694,1.006667,scifact_policy_summary
nfcorpus,fixed,Train-best retrieval action,reward,0.377153,0.0,,,0.122208,0.509889,0.357902,1.0,nfcorpus_policy_summary
nfcorpus,heuristic,Heuristic retrieval router,reward,0.38962,0.012467,,,0.129147,0.520944,0.352314,1.0,nfcorpus_policy_summary
nfcorpus,bandit,Best selected-action bandit baseline,reward,0.404025,0.026873,,,0.13582,0.544611,0.377658,1.136667,nfcorpus_linucb_baseline_summary
nfcorpus,learned,Selective retrieval policy,reward,0.407095,0.029942,0.005428,0.054799,0.135678,0.542833,0.372225,1.0,nfcorpus_bootstrap
nfcorpus,constrained,Constrained policy lambda=0.03,utility_lambda_0.03,0.409809,0.032656,0.010587,0.058431,0.136504,0.546611,0.375848,1.0,nfcorpus_constrained_policy_bootstrap
nfcorpus,oracle,Oracle retrieval action,reward,0.464141,0.086988,,,0.156657,0.616167,0.438696,1.02,nfcorpus_policy_summary
